"","seq_number","sum.taxonomy"
"92","unmerged_CO1_18885","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"93","unmerged_CO1_18886","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"94","unmerged_CO1_18887","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"95","unmerged_CO1_18888","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"96","unmerged_CO1_18889","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"97","unmerged_CO1_21462","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"98","unmerged_CO1_22127","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"99","unmerged_CO1_22753","Eukaryota;Chordata;Mammalia;;Bovidae;Bos;Bos taurus"
"100","unmerged_CO1_22754","Eukaryota;Chordata;Mammalia;;Bovidae;Bos;"
"101","unmerged_CO1_22755","Eukaryota;Chordata;Mammalia;;Bovidae;Bos;"
"102","unmerged_CO1_22756","Eukaryota;Chordata;Mammalia;;Bovidae;Bos;"
"103","unmerged_CO1_22757","Eukaryota;Chordata;Aves;Passeriformes;;;"
"104","unmerged_CO1_22764","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"105","unmerged_CO1_22817","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"106","unmerged_CO1_22837","Eukaryota;Chordata;Mammalia;;Bovidae;Bos;Bos taurus"
"107","unmerged_CO1_23949","Eukaryota;Chordata;Mammalia;;Suidae;Sus;Sus scrofa"
"108","unmerged_CO1_23950","Eukaryota;Chordata;Mammalia;;Suidae;Sus;Sus scrofa"
"109","unmerged_CO1_23985",""
"110","unmerged_CO1_25107",""
"111","unmerged_CO1_25232",""
"112","unmerged_CO1_26736","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"113","unmerged_CO1_26763",""
"114","unmerged_CO1_28479","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo"
"115","unmerged_CO1_28693",""
"116","unmerged_CO1_28694",""
"117","unmerged_CO1_28715","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"118","unmerged_CO1_28749",""
"119","unmerged_CO1_30361","Eukaryota;Chordata;Mammalia;NA;Bovidae;Bos;Bos mutus"
"120","unmerged_CO1_30363","Eukaryota;Chordata;Mammalia;;Bovidae;Ovis;Ovis aries"
"121","unmerged_CO1_30872","Eukaryota;Chordata;Mammalia;Perissodactyla;Equidae;Equus;Equus caballus"
"122","unmerged_CO1_30873","Eukaryota;Chordata;Mammalia;Perissodactyla;Equidae;Equus;Equus caballus"
"123","unmerged_CO1_31432","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"124","unmerged_CO1_31433",""
"125","unmerged_CO1_34037","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"126","unmerged_CO1_34146","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"127","unmerged_CO1_34302","Eukaryota;Chordata;Actinopteri;Siluriformes;Ictaluridae;Ictalurus;Ictalurus furcatus"
"128","unmerged_CO1_38924",""
"129","unmerged_CO1_38934","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"130","unmerged_CO1_38967",""
"131","unmerged_CO1_39002",""
"132","unmerged_CO1_39032","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"133","unmerged_CO1_39084",""
"134","unmerged_CO1_39557","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"135","unmerged_CO1_39558","Eukaryota;Chordata;Mammalia;;Bovidae;Bos;Bos taurus"
"136","unmerged_CO1_39560","Eukaryota;Chordata;Mammalia;;Bovidae;Bos;Bos taurus"
"137","unmerged_CO1_39561","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"138","unmerged_CO1_41254","Eukaryota;Chordata;Mammalia;;Bovidae;Ovis;Ovis aries"
"139","unmerged_CO1_42004","Eukaryota;;Raphidophyceae;Chattonellales;Chattonellaceae;Chattonella;Chattonella subsalsa"
"140","unmerged_CO1_43372","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo"
"141","unmerged_CO1_43374","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo"
"142","unmerged_CO1_43375","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo"
"143","unmerged_CO1_43376",""
"144","unmerged_CO1_43543","Eukaryota;Chordata;Mammalia;;Suidae;Sus;Sus scrofa"
"145","unmerged_CO1_51775","Eukaryota;Arthropoda;Insecta;Psocoptera;Liposcelidae;Liposcelis;Liposcelis corrodens"
"146","unmerged_CO1_52877","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
