"","seq_number","sum.taxonomy"
"1","merged_CO1_2","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"2","merged_CO1_5","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"3","merged_CO1_11","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"4","merged_CO1_18","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"5","merged_CO1_25",""
"6","merged_CO1_29",""
"7","merged_CO1_32","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"8","merged_CO1_83","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"9","merged_CO1_110","Eukaryota;Chordata;Mammalia;NA;Bovidae;Bos;Bos taurus"
"10","merged_CO1_111","Eukaryota;Chordata;Mammalia;NA;Bovidae;Bos;Bos primigenius"
"11","merged_CO1_261",""
"12","merged_CO1_288",""
"13","merged_CO1_373","Eukaryota;Chordata;Mammalia;NA;Camelidae;Camelus;Camelus dromedarius"
"14","merged_CO1_483",""
"15","merged_CO1_603",""
"16","merged_CO1_699",""
"17","merged_CO1_852","Eukaryota;Chordata;Mammalia;NA;Camelidae;Camelus;Camelus dromedarius"
"18","merged_CO1_875",""
"19","merged_CO1_1152",""
"20","merged_CO1_1233",""
"21","merged_CO1_1842","Eukaryota;Chordata;Mammalia;NA;Bovidae;Bos;Bos taurus"
"22","merged_CO1_1944",""
"23","merged_CO1_2035",""
"24","merged_CO1_2104",""
"25","merged_CO1_2250",""
"26","merged_CO1_2251",""
"27","merged_CO1_2340",""
"28","merged_CO1_2383","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo"
"29","merged_CO1_2384","Eukaryota;Chordata;Mammalia;NA;Bovidae;Philantomba;Philantomba monticola"
"30","merged_CO1_2385","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo"
"31","merged_CO1_2512","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"32","merged_CO1_2513","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo"
"33","merged_CO1_3066","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo"
"34","unmerged_CO1_174","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"35","unmerged_CO1_221",""
"36","unmerged_CO1_507",""
"37","unmerged_CO1_573",""
"38","unmerged_CO1_597",""
"39","unmerged_CO1_628",""
"40","unmerged_CO1_960","Eukaryota;Chordata;Mammalia;Rodentia;Myocastoridae;Myocastor;Myocastor coypus"
"41","unmerged_CO1_10818",""
"42","unmerged_CO1_10851","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"43","unmerged_CO1_10852","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"44","unmerged_CO1_10880","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"45","unmerged_CO1_10893",""
"46","unmerged_CO1_11074","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"47","unmerged_CO1_12018","Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Bombus;Bombus consobrinus"
"48","unmerged_CO1_14271","Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;Candida;Candida sake"
"49","unmerged_CO1_16373","Eukaryota;Ascomycota;;;;;"
"50","unmerged_CO1_18234",""
"51","unmerged_CO1_18315",""
"52","unmerged_CO1_18343",""
"53","unmerged_CO1_18456","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"54","unmerged_CO1_18470",""
"55","unmerged_CO1_18669","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"56","unmerged_CO1_18846","Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Phoxinellus;Phoxinellus alepidotus"
"57","unmerged_CO1_18847","Eukaryota;Chordata;Mammalia;;;;"
"58","unmerged_CO1_18848","Eukaryota;Chordata;Mammalia;;;;"
"59","unmerged_CO1_18849","Eukaryota;Chordata;Mammalia;;;;"
"60","unmerged_CO1_18850","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"61","unmerged_CO1_18851","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"62","unmerged_CO1_18852","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"63","unmerged_CO1_18853","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"64","unmerged_CO1_18854","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"65","unmerged_CO1_18855","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"66","unmerged_CO1_18856","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"67","unmerged_CO1_18859",""
"68","unmerged_CO1_18860",""
"69","unmerged_CO1_18862","Eukaryota;Chordata;;;;;"
"70","unmerged_CO1_18863","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"71","unmerged_CO1_18864","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"72","unmerged_CO1_18865",""
"73","unmerged_CO1_18866","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"74","unmerged_CO1_18867","Eukaryota;Chordata;Mammalia;;Bovidae;Bos;Bos taurus"
"75","unmerged_CO1_18868","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"76","unmerged_CO1_18869","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"77","unmerged_CO1_18870","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"78","unmerged_CO1_18871","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"79","unmerged_CO1_18872","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"80","unmerged_CO1_18873","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"81","unmerged_CO1_18874","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"82","unmerged_CO1_18875","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"83","unmerged_CO1_18876","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"84","unmerged_CO1_18877","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"85","unmerged_CO1_18878","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"86","unmerged_CO1_18879","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"87","unmerged_CO1_18880","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"88","unmerged_CO1_18881","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"89","unmerged_CO1_18882","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"90","unmerged_CO1_18883","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"91","unmerged_CO1_18884","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
