PIC_RowNumber,Cst_Cnt,N_Cruise,N_Ship,N_OrderOcc,N_Towtype,N_Townumber,N_lat,N_lon,N_Line,N_Station
27,2602.0,195104,BD,18.0,C1,1.0,36.05,-122.033333,70.0,55.0
28,2601.0,195104,BD,17.0,C1,1.0,35.883333,-122.383333,70.0,60.0
29,2603.0,195104,BD,19.0,C1,1.0,35.591666,-121.333333,73.3,51.0
30,2642.0,195104,CR,13.0,C1,1.0,32.833333,-117.525,93.3,30.0
31,2604.0,195104,BD,20.0,C1,1.0,35.266666,-122.041666,73.3,61.0
32,2606.0,195104,BD,22.0,C1,1.0,34.908333,-121.216666,76.7,55.0
33,2607.0,195104,BD,23.0,C1,1.0,34.316666,-120.8,80.0,55.0
34,2608.0,195104,BD,24.0,C1,1.0,34.15,-121.15,80.0,60.0
35,2643.0,195104,CR,14.0,C1,1.0,32.5,-118.208333,93.3,40.0
36,2646.0,195104,CR,17.0,C1,1.0,31.503333,-120.25,93.3,70.0
37,2619.0,195104,BD,35.0,C1,1.0,33.566666,-120.75,83.3,60.0
38,2617.0,195104,BD,33.0,C1,1.0,32.908333,-122.125,83.3,80.0
39,2620.0,195104,BD,36.0,C1,1.0,33.733333,-120.408333,83.3,55.0
40,2621.0,195104,BD,37.0,C1,1.0,33.833333,-118.625,86.7,35.0
41,2622.0,195104,BD,38.0,C1,1.0,33.666666,-118.975,86.7,40.0
42,2623.0,195104,BD,39.0,C1,1.0,33.333333,-119.658333,86.7,50.0
43,2626.0,195104,BD,42.0,C1,1.0,32.325,-121.716666,86.7,80.0
44,2674.0,195104,CR,44.0,C1,1.0,32.63,-119.458333,90.0,53.0
45,2677.0,195104,CR,47.0,C1,1.0,33.408333,-117.916666,90.0,30.0
46,2676.0,195104,CR,46.0,C1,1.0,33.183333,-118.391666,90.0,37.0
47,2675.0,195104,CR,45.0,C1,1.0,32.891666,-118.908333,90.0,45.0
48,2774.0,195105,CR,13.0,C1,1.0,32.816666,-117.525,93.3,30.0
49,2776.0,195105,CR,15.0,C1,1.0,32.166666,-118.891666,93.3,50.0
50,2777.0,195105,CR,16.0,C1,1.0,31.833333,-119.566666,93.3,60.0
51,2747.0,195105,BD,20.0,C1,1.0,34.566666,-121.916666,76.7,65.0
52,2749.0,195105,BD,22.0,C1,1.0,34.316666,-120.8,80.0,55.0
53,2753.0,195105,BD,26.0,C1,1.0,33.0,-120.358333,86.7,60.0
54,2755.0,195105,BD,28.0,C1,1.0,33.666666,-118.975,86.7,40.0
55,2757.0,195105,BD,30.0,C1,1.0,33.733333,-120.408333,83.3,55.0
56,2807.0,195105,CR,45.0,C1,1.0,32.908333,-118.933333,90.0,45.0
57,2805.0,195105,CR,43.0,C1,1.0,32.408333,-119.958333,90.0,60.0
58,2803.0,195105,CR,41.0,C1,1.0,31.75,-121.316666,90.0,80.0
59,2759.0,195105,BD,32.0,C1,1.0,33.241666,-121.433333,83.3,70.0
60,2810.0,195105,CR,47.0,C1,1.0,33.408333,-117.916666,90.0,30.0
61,,195106,YE,2.0,C1,1.0,33.833333,-118.625,86.7,35.0
62,2984.0,195106,YE,4.0,C1,1.0,33.733333,-120.408333,83.3,55.0
63,,195106,YE,5.0,C1,1.0,33.308333,-121.466666,83.3,70.0
64,,195106,YE,12.0,C1,1.0,33.466666,-119.766666,86.7,50.0
65,,195106,YE,10.0,C1,1.0,32.65,-121.016666,86.7,70.0
66,2985.0,195106,YE,13.0,C1,1.0,32.5,-118.208333,93.3,40.0
67,2986.0,195106,YE,14.0,C1,1.0,32.15,-118.85,93.3,50.0
68,2885.0,195106,BD,27.0,C1,1.0,34.316666,-120.8,80.0,55.0
69,2887.0,195106,BD,29.0,C1,1.0,33.816666,-121.85,80.0,70.0
70,2899.0,195106,BD,38.0,C1,1.0,32.075,-120.65,90.0,70.0
71,2902.0,195106,BD,41.0,C1,1.0,32.908333,-118.933333,90.0,45.0
72,2900.0,195106,BD,39.0,C1,1.0,32.416666,-119.958333,90.0,60.0
73,2904.0,195106,BD,43.0,C1,1.0,33.408333,-117.916666,90.0,30.0
74,3388.0,195109,PT,16.0,C1,1.0,34.006666,-119.05,85.0,38.0
75,3278.0,195109,BD,30.0,C1,1.0,32.833333,-117.525,93.3,30.0
76,3284.0,195109,BD,36.0,C1,1.0,32.641666,-119.483333,90.0,53.0
77,3279.0,195109,BD,31.0,C1,1.0,32.933333,-117.32,93.3,27.0
78,3285.0,195109,BD,37.0,C1,1.0,32.416666,-119.958333,90.0,60.0
79,3293.0,195109,BD,45.0,C1,1.0,34.441666,-120.541666,80.0,51.0
80,3292.0,195109,BD,44.0,C1,1.0,34.316666,-120.8,80.0,55.0
81,3289.0,195109,BD,41.0,C1,1.0,33.483333,-122.533333,80.0,80.0
82,3475.0,195110,PT,5.0,C1,1.0,33.563333,-120.74,83.3,60.0
83,3471.0,195110,PT,1.0,C1,1.0,34.01,-119.065,85.0,38.0
84,3474.0,195110,PT,4.0,C1,1.0,33.283333,-120.558333,85.0,60.0
