Seq_number,Sample Name,Jar,Sample Number,Sample Name,Jar,,Jar_improved,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type,Date,Lat,Lon,Lat Lon,Volume
CO1_ETOHJAR.0019.S79.L002,Tech_rep_1_0104_93.3_30,0104_93.3_30,19,Tech_rep_1_0104_93.3_30,0104_93.3_30,,2001_4_93.3_30,CO19,CO1_2001_4_93.3_30_1_1,2001_4_93.3_30,2001,1,1,Sample,NA,4/7/01,32.845,-117.531666,32.845 N 117.531666 W,125
CO1_ETOHJAR.0020.S80.L002,Tech_rep_1_0104_93.3_60,0104_93.3_60,20,Tech_rep_1_0104_93.3_60,0104_93.3_60,,2001_4_93.3_60,CO20,CO1_2001_4_93.3_60_1_1,2001_4_93.3_60,2001,1,1,Sample,NA,4/8/01,31.855,-119.568333,31.855 N 119.568333 W,125
CO1_ETOHJAR.0021.S81.L002,Tech_rep_1_0204_80_60,0204_80_60,21,Tech_rep_1_0204_80_60,0204_80_60,,2002_4_80_60,CO21,CO1_2002_4_80_60_1_1,2002_4_80_60,2002,1,1,Sample,NA,4/9/02,34.146666,-121.155,34.146666 N 121.155 W,75
CO1_ETOHJAR.0022.S82.L002,Tech_rep_1_0204_86.7_50,0204_86.7_50,22,Tech_rep_1_0204_86.7_50,0204_86.7_50,,2002_4_86.7_50,CO22,CO1_2002_4_86.7_50_1_1,2002_4_86.7_50,2002,1,1,Sample,NA,4/4/02,33.323333,-119.656666,33.323333 N 119.656666 W,125
CO1_ETOHJAR.0023.S83.L002,Tech_rep_1_0204_93.3_30,0204_93.3_30,23,Tech_rep_1_0204_93.3_30,0204_93.3_30,,2002_3_93.3_30,CO23,CO1_2002_3_93.3_30_1_1,2002_3_93.3_30,2002,1,1,Sample,NA,3/29/02,32.848333,-117.531666,32.848333 N 117.531666 W,125
CO1_ETOHJAR.0024.S84.L002,Tech_rep_1_0204_93.3_60,0204_93.3_60,24,Tech_rep_1_0204_93.3_60,0204_93.3_60,,2002_3_93.3_60,CO24,CO1_2002_3_93.3_60_1_1,2002_3_93.3_60,2002,1,1,Sample,NA,3/30/02,31.846666,-119.571666,31.846666 N 119.571666 W,125
CO1_ETOHJAR.0025.S85.L002,Tech_rep_1_0304_80_60,0304_80_60,25,Tech_rep_1_0304_80_60,0304_80_60,,2003_4_80_60,CO25,CO1_2003_4_80_60_1_1,2003_4_80_60,2003,1,1,Sample,NA,4/16/03,34.155,-121.13,34.155 N 121.13 W,125
CO1_ETOHJAR.0026.S86.L002,Tech_rep_1_0304_86.7_50,0304_86.7_50,26,Tech_rep_1_0304_86.7_50,0304_86.7_50,,2003_4_86.7_50,CO26,CO1_2003_4_86.7_50_1_1,2003_4_86.7_50,2003,1,1,Sample,NA,4/11/03,33.323333,-119.663333,33.323333 N 119.663333 W,125
CO1_ETOHJAR.0027.S87.L002,Tech_rep_1_0304_93.3_30,0304_93.3_30,27,Tech_rep_1_0304_93.3_30,0304_93.3_30,,2003_4_93.3_30,CO27,CO1_2003_4_93.3_30_1_1,2003_4_93.3_30,2003,1,1,Sample,NA,4/24/03,32.846666,-117.531666,32.846666 N 117.531666 W,125
CO1_ETOHJAR.0028.S88.L002,Tech_rep_1_0304_93.3_60,0304_93.3_60,28,Tech_rep_1_0304_93.3_60,0304_93.3_60,,2003_4_93.3_60,CO28,CO1_2003_4_93.3_60_1_1,2003_4_93.3_60,2003,1,1,Sample,NA,4/23/03,31.846666,-119.571666,31.846666 N 119.571666 W,125
