Seq_number,Sample Name,Jar,Sample Number,Sample Name,Jar,,Jar_improved,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type,Date,Lat,Lon,Lat Lon,Volume
CO1_ETOHJAR.0082.S142.L002,Tech_rep_1_1604_93.3_30,1604_93.3_30,82,Tech_rep_1_1604_93.3_30,1604_93.3_30,,2016_4_93.3_30,CO82,CO1_2016_4_93.3_30_1_1,2016_4_93.3_30,2016,1,1,Sample,NA,4/2/16,32.84232,-117.53212,32.84232 N 117.53212 W,125
CO1_ETOHJAR.0083.S143.L002,Tech_rep_1_1604_93.3_60,1604_93.3_60,83,Tech_rep_1_1604_93.3_60,1604_93.3_60,,2016_4_93.3_60,CO83,CO1_2016_4_93.3_60_1_1,2016_4_93.3_60,2016,1,1,Sample,NA,4/3/16,31.84073,-119.57013,31.84073 N 119.57013 W,125
CO1_ETOHJAR.0084.S144.L002,Tech_rep_1_1704_80_60,1704_80_60,84,Tech_rep_1_1704_80_60,1704_80_60,,2017_4_80_60,CO84,CO1_2017_4_80_60_1_1,2017_4_80_60,2017,1,1,Sample,NA,4/11/17,34.14817,-121.15233,34.14817 N 121.15233 W,125
CO1_ETOHJAR.0085.S145.L002,Tech_rep_1_1704_86.7_50,1704_86.7_50,85,Tech_rep_1_1704_86.7_50,1704_86.7_50,,2017_4_86.7_50,CO85,CO1_2017_4_86.7_50_1_1,2017_4_86.7_50,2017,1,1,Sample,NA,4/6/17,33.32372,-119.66018,33.32372 N 119.66018 W,125
CO1_ETOHJAR.0086.S146.L002,Tech_rep_1_1704_93.3_60,1704_93.3_60,86,Tech_rep_1_1704_93.3_60,1704_93.3_60,,2017_3_93.3_60,CO86,CO1_2017_3_93.3_60_1_1,2017_3_93.3_60,2017,1,1,Sample,NA,3/30/17,31.84467,-119.57317,31.84467 N 119.57317 W,125
CO1_ETOHJAR.0087.S147.L002,Tech_rep_1_1804_80_60,1804_80_60,87,Tech_rep_1_1804_80_60,1804_80_60,,2018_4_80_60,CO87,CO1_2018_4_80_60_1_1,2018_4_80_60,2018,1,1,Sample,NA,4/18/18,34.14462,-121.1617,34.14462 N 121.1617 W,125
CO1_ETOHJAR.0088.S148.L002,Tech_rep_1_1804_86.7_50,1804_86.7_50,88,Tech_rep_1_1804_86.7_50,1804_86.7_50,,2018_4_86.7_50,CO88,CO1_2018_4_86.7_50_1_1,2018_4_86.7_50,2018,1,1,Sample,NA,4/12/18,33.31112,-119.6585,33.31112 N 119.6585 W,125
CO1_ETOHJAR.267.S337.L002,Tech_rep_1_1804_86.7_50_CN,1804_86.7_50_CN,89,Tech_rep_1_1804_86.7_50_CN,1804_86.7_50_CN,,2018_4_86.7_50_CN,CO89,CO1_2018_4_86.7_50_2_1,2018_4_86.7_50,2018,2,1,Sample,NA,4/12/18,33.31112,-119.6585,33.31112 N 119.6585 W,125
CO1_ETOHJAR.268.S338.L002,Tech_rep_1_1804_93.3_30,1804_93.3_30,90,Tech_rep_1_1804_93.3_30,1804_93.3_30,,2018_4_93.3_30,CO90,CO1_2018_4_93.3_30_1_1,2018_4_93.3_30,2018,1,1,Sample,NA,4/6/18,32.84637,-117.5232,32.84637 N 117.5232 W,125
CO1_ETOHJAR.269.S339.L002,Tech_rep_1_1804_93.3_60,1804_93.3_60,91,Tech_rep_1_1804_93.3_60,1804_93.3_60,,2018_4_93.3_60,CO91,CO1_2018_4_93.3_60_1_1,2018_4_93.3_60,2018,1,1,Sample,NA,4/7/18,31.84667,-119.5725,31.84667 N 119.5725 W,125
CO1_ETOHJAR.270.S340.L002,Tech_rep_1_1904_80_60_J1,1904_80_60_J1,92,Tech_rep_1_1904_80_60_J1,1904_80_60_J1,,2019_4_80_60_J1,CO92,CO1_2019_4_80_60_1_1,2019_4_80_60,2019,1,1,Sample,NA,4/15/19,34.14882,-121.15433,34.14882 N 121.15433 W,125
CO1_ETOHJAR.271.S341.L002,Tech_rep_1_1904_80_60_J2,1904_80_60_J2,93,Tech_rep_1_1904_80_60_J2,1904_80_60_J2,,2019_4_80_60_J2,CO93,CO1_2019_4_80_60_2_1,2019_4_80_60,2019,2,1,Sample,NA,4/15/19,34.14882,-121.15433,34.14882 N 121.15433 W,125
CO1_ETOHJAR.272.S342.L002,Tech_rep_1_1904_86.7_50,1904_86.7_50,94,Tech_rep_1_1904_86.7_50,1904_86.7_50,,2019_4_86.7_50,CO94,CO1_2019_4_86.7_50_1_1,2019_4_86.7_50,2019,1,1,Sample,NA,4/8/19,33.32117,-119.66517,33.32117 N 119.66517 W,125
CO1_ETOHJAR.273.S343.L002,Tech_rep_1_1904_93.3_30,1904_93.3_30,95,Tech_rep_1_1904_93.3_30,1904_93.3_30,,2019_4_93.3_30,CO95,CO1_2019_4_93.3_30_1_1,2019_4_93.3_30,2019,1,1,Sample,NA,4/3/19,32.845,-117.52782,32.845 N 117.52782 W,125
CO1_ETOHJAR.274.S344.L002,Tech_rep_1_1904_93.3_60,1904_93.3_60,96,Tech_rep_1_1904_93.3_60,1904_93.3_60,,2019_4_93.3_60,CO96,CO1_2019_4_93.3_60_1_1,2019_4_93.3_60,2019,1,1,Sample,NA,4/4/19,31.84682,-119.57432,31.84682 N 119.57432 W,125
CO1_ETOHJAR.0089.S149.L002,Tech_rep_2_9604_80_60,9604_80_60,97,Tech_rep_2_9604_80_60,9604_80_60,,1996_4_80_60,CO101,CO1_1996_4_80_60_1_2,1996_4_80_60,1996,1,2,Sample,NA,4/28/96,34.151666,-121.148333,34.151666 N 121.148333 W,125
CO1_ETOHJAR.0090.S150.L002,Tech_rep_2_9604_86.7_50,9604_86.7_50,98,Tech_rep_2_9604_86.7_50,9604_86.7_50,,1996_4_86.7_50,CO102,CO1_1996_4_86.7_50_1_2,1996_4_86.7_50,1996,1,2,Sample,NA,4/23/96,33.325,-119.661666,33.325 N 119.661666 W,125
CO1_ETOHJAR.0091.S151.L002,Tech_rep_2_9604_93.3_30,9604_93.3_30,99,Tech_rep_2_9604_93.3_30,9604_93.3_30,,1996_4_93.3_30,CO103,CO1_1996_4_93.3_30_1_2,1996_4_93.3_30,1996,1,2,Sample,NA,4/16/96,32.848333,-117.526666,32.848333 N 117.526666 W,125
CO1_ETOHJAR.0092.S152.L002,Tech_rep_2_9604_93.3_60,9604_93.3_60,100,Tech_rep_2_9604_93.3_60,9604_93.3_60,,1996_4_93.3_60,CO104,CO1_1996_4_93.3_60_1_2,1996_4_93.3_60,1996,1,2,Sample,NA,4/17/96,31.848333,-119.571666,31.848333 N 119.571666 W,125
CO1_ETOHJAR.0093.S153.L002,Tech_rep_2_9804_80_60,9804_80_60,101,Tech_rep_2_9804_80_60,9804_80_60,,1998_4_80_60,CO105,CO1_1998_4_80_60_1_2,1998_4_80_60,1998,1,2,Sample,NA,4/15/98,34.151666,-121.145,34.151666 N 121.145 W,125
CO1_ETOHJAR.0094.S154.L002,Tech_rep_2_9804_86.7_50,9804_86.7_50,102,Tech_rep_2_9804_86.7_50,9804_86.7_50,,1998_4_86.7_50,CO106,CO1_1998_4_86.7_50_1_2,1998_4_86.7_50,1998,1,2,Sample,NA,4/10/98,33.323333,-119.663333,33.323333 N 119.663333 W,125
CO1_ETOHJAR.0095.S155.L002,Tech_rep_2_9804_93.3_30,9804_93.3_30,103,Tech_rep_2_9804_93.3_30,9804_93.3_30,,1998_4_93.3_30,CO107,CO1_1998_4_93.3_30_1_2,1998_4_93.3_30,1998,1,2,Sample,NA,4/3/98,32.848333,-117.528333,32.848333 N 117.528333 W,125
CO1_ETOHJAR.0096.S156.L002,Tech_rep_2_9804_93.3_60,9804_93.3_60,104,Tech_rep_2_9804_93.3_60,9804_93.3_60,,1998_4_93.3_60,CO108,CO1_1998_4_93.3_60_1_2,1998_4_93.3_60,1998,1,2,Sample,NA,4/4/98,31.846666,-119.571666,31.846666 N 119.571666 W,125
CO1_ETOHJAR.0097.S157.L002,Tech_rep_2_9904_80_60,9904_80_60,105,Tech_rep_2_9904_80_60,9904_80_60,,1999_4_80_60,CO109,CO1_1999_4_80_60_1_2,1999_4_80_60,1999,1,2,Sample,NA,4/13/99,34.153333,-121.146666,34.153333 N 121.146666 W,125
CO1_ETOHJAR.0098.S158.L002,Tech_rep_2_9904_86.7_50,9904_86.7_50,106,Tech_rep_2_9904_86.7_50,9904_86.7_50,,1999_4_86.7_50,CO110,CO1_1999_4_86.7_50_1_2,1999_4_86.7_50,1999,1,2,Sample,NA,4/8/99,33.325,-119.663333,33.325 N 119.663333 W,125
CO1_ETOHJAR.0099.S159.L002,Tech_rep_2_9904_93.3_30,9904_93.3_30,107,Tech_rep_2_9904_93.3_30,9904_93.3_30,,1999_4_93.3_30,CO111,CO1_1999_4_93.3_30_1_2,1999_4_93.3_30,1999,1,2,Sample,NA,4/2/99,32.845,-117.53,32.845 N 117.53 W,125
CO1_ETOHJAR.0100.S160.L002,Tech_rep_2_9904_93.3_60,9904_93.3_60,108,Tech_rep_2_9904_93.3_60,9904_93.3_60,,1999_4_93.3_60,CO112,CO1_1999_4_93.3_60_1_2,1999_4_93.3_60,1999,1,2,Sample,NA,4/3/99,31.85,-119.568333,31.85 N 119.568333 W,125
CO1_ETOHJAR.0101.S161.L002,Tech_rep_2_0004_80_60,0004_80_60,109,Tech_rep_2_0004_80_60,0004_80_60,,2000_4_80_60,CO113,CO1_2000_4_80_60_1_2,2000_4_80_60,2000,1,2,Sample,NA,4/19/00,34.148333,-121.156666,34.148333 N 121.156666 W,125
CO1_ETOHJAR.0102.S162.L002,Tech_rep_2_0004_86.7_50,0004_86.7_50,110,Tech_rep_2_0004_86.7_50,0004_86.7_50,,2000_4_86.7_50,CO114,CO1_2000_4_86.7_50_1_2,2000_4_86.7_50,2000,1,2,Sample,NA,4/15/00,33.323333,-119.666666,33.323333 N 119.666666 W,125
CO1_ETOHJAR.0103.S163.L002,Tech_rep_2_0004_93.3_30,0004_93.3_30,111,Tech_rep_2_0004_93.3_30,0004_93.3_30,,2000_4_93.3_30,CO115,CO1_2000_4_93.3_30_1_2,2000_4_93.3_30,2000,1,2,Sample,NA,4/8/00,32.846666,-117.538333,32.846666 N 117.538333 W,125
CO1_ETOHJAR.0104.S164.L002,Tech_rep_2_0004_93.3_60,0004_93.3_60,112,Tech_rep_2_0004_93.3_60,0004_93.3_60,,2000_4_93.3_60,CO116,CO1_2000_4_93.3_60_1_2,2000_4_93.3_60,2000,1,2,Sample,NA,4/9/00,31.85,-119.568333,31.85 N 119.568333 W,125
CO1_ETOHJAR.0105.S165.L002,Tech_rep_2_0104_80_60,0104_80_60,113,Tech_rep_2_0104_80_60,0104_80_60,,2001_4_80_60,CO117,CO1_2001_4_80_60_1_2,2001_4_80_60,2001,1,2,Sample,NA,4/20/01,34.145,-121.161666,34.145 N 121.161666 W,75
CO1_ETOHJAR.0106.S166.L002,Tech_rep_2_0104_86.7_50,0104_86.7_50,114,Tech_rep_2_0104_86.7_50,0104_86.7_50,,2001_4_86.7_50,CO118,CO1_2001_4_86.7_50_1_2,2001_4_86.7_50,2001,1,2,Sample,NA,4/14/01,33.32,-119.66,33.32 N 119.66 W,125
CO1_ETOHJAR.0107.S167.L002,Tech_rep_2_0104_93.3_30,0104_93.3_30,115,Tech_rep_2_0104_93.3_30,0104_93.3_30,,2001_4_93.3_30,CO119,CO1_2001_4_93.3_30_1_2,2001_4_93.3_30,2001,1,2,Sample,NA,4/7/01,32.845,-117.531666,32.845 N 117.531666 W,125
CO1_ETOHJAR.0108.S168.L002,Tech_rep_2_0104_93.3_60,0104_93.3_60,116,Tech_rep_2_0104_93.3_60,0104_93.3_60,,2001_4_93.3_60,CO120,CO1_2001_4_93.3_60_1_2,2001_4_93.3_60,2001,1,2,Sample,NA,4/8/01,31.855,-119.568333,31.855 N 119.568333 W,125
CO1_ETOHJAR.0109.S169.L002,Tech_rep_2_0204_80_60,0204_80_60,117,Tech_rep_2_0204_80_60,0204_80_60,,2002_4_80_60,CO121,CO1_2002_4_80_60_1_2,2002_4_80_60,2002,1,2,Sample,NA,4/9/02,34.146666,-121.155,34.146666 N 121.155 W,75
CO1_ETOHJAR.0110.S170.L002,Tech_rep_2_0204_86.7_50,0204_86.7_50,118,Tech_rep_2_0204_86.7_50,0204_86.7_50,,2002_4_86.7_50,CO122,CO1_2002_4_86.7_50_1_2,2002_4_86.7_50,2002,1,2,Sample,NA,4/4/02,33.323333,-119.656666,33.323333 N 119.656666 W,125
CO1_ETOHJAR.0111.S171.L002,Tech_rep_2_0204_93.3_30,0204_93.3_30,119,Tech_rep_2_0204_93.3_30,0204_93.3_30,,2002_3_93.3_30,CO123,CO1_2002_3_93.3_30_1_2,2002_3_93.3_30,2002,1,2,Sample,NA,3/29/02,32.848333,-117.531666,32.848333 N 117.531666 W,125
CO1_ETOHJAR.0112.S172.L002,Tech_rep_2_0204_93.3_60,0204_93.3_60,120,Tech_rep_2_0204_93.3_60,0204_93.3_60,,2002_3_93.3_60,CO124,CO1_2002_3_93.3_60_1_2,2002_3_93.3_60,2002,1,2,Sample,NA,3/30/02,31.846666,-119.571666,31.846666 N 119.571666 W,125
CO1_ETOHJAR.0113.S173.L002,Tech_rep_2_0304_80_60,0304_80_60,121,Tech_rep_2_0304_80_60,0304_80_60,,2003_4_80_60,CO125,CO1_2003_4_80_60_1_2,2003_4_80_60,2003,1,2,Sample,NA,4/16/03,34.155,-121.13,34.155 N 121.13 W,125
CO1_ETOHJAR.0114.S174.L002,Tech_rep_2_0304_86.7_50,0304_86.7_50,122,Tech_rep_2_0304_86.7_50,0304_86.7_50,,2003_4_86.7_50,CO126,CO1_2003_4_86.7_50_1_2,2003_4_86.7_50,2003,1,2,Sample,NA,4/11/03,33.323333,-119.663333,33.323333 N 119.663333 W,125
CO1_ETOHJAR.0115.S175.L002,Tech_rep_2_0304_93.3_30,0304_93.3_30,123,Tech_rep_2_0304_93.3_30,0304_93.3_30,,2003_4_93.3_30,CO127,CO1_2003_4_93.3_30_1_2,2003_4_93.3_30,2003,1,2,Sample,NA,4/24/03,32.846666,-117.531666,32.846666 N 117.531666 W,125
CO1_ETOHJAR.0116.S176.L002,Tech_rep_2_0304_93.3_60,0304_93.3_60,124,Tech_rep_2_0304_93.3_60,0304_93.3_60,,2003_4_93.3_60,CO128,CO1_2003_4_93.3_60_1_2,2003_4_93.3_60,2003,1,2,Sample,NA,4/23/03,31.846666,-119.571666,31.846666 N 119.571666 W,125
CO1_ETOHJAR.0117.S177.L002,Tech_rep_2_0404_80_60,0404_80_60,125,Tech_rep_2_0404_80_60,0404_80_60,,2004_4_80_60,CO129,CO1_2004_4_80_60_1_2,2004_4_80_60,2004,1,2,Sample,NA,4/4/04,34.153333,-121.153333,34.153333 N 121.153333 W,125
CO1_ETOHJAR.0118.S178.L002,Tech_rep_2_0404_86.7_50,0404_86.7_50,126,Tech_rep_2_0404_86.7_50,0404_86.7_50,,2004_3_86.7_50,CO130,CO1_2004_3_86.7_50_1_2,2004_3_86.7_50,2004,1,2,Sample,NA,3/30/04,33.323333,-119.661666,33.323333 N 119.661666 W,125
CO1_ETOHJAR.0119.S179.L002,Tech_rep_2_0404_93.3_30,0404_93.3_30,127,Tech_rep_2_0404_93.3_30,0404_93.3_30,,2004_3_93.3_30,CO131,CO1_2004_3_93.3_30_1_2,2004_3_93.3_30,2004,1,2,Sample,NA,3/24/04,32.846666,-117.531666,32.846666 N 117.531666 W,125
CO1_ETOHJAR.0120.S180.L002,Tech_rep_2_0404_93.3_60,0404_93.3_60,128,Tech_rep_2_0404_93.3_60,0404_93.3_60,,2004_3_93.3_60,CO132,CO1_2004_3_93.3_60_1_2,2004_3_93.3_60,2004,1,2,Sample,NA,3/25/04,31.846666,-119.575,31.846666 N 119.575 W,125
CO1_ETOHJAR.0121.S181.L002,Tech_rep_2_0504_80_60,0504_80_60,129,Tech_rep_2_0504_80_60,0504_80_60,,2005_4_80_60,CO133,CO1_2005_4_80_60_1_2,2005_4_80_60,2005,1,2,Sample,NA,4/27/05,34.146667,-121.15,34.146667 N 121.15 W,125
CO1_ETOHJAR.0122.S182.L002,Tech_rep_2_0504_86.7_50,0504_86.7_50,130,Tech_rep_2_0504_86.7_50,0504_86.7_50,,2005_4_86.7_50,CO134,CO1_2005_4_86.7_50_1_2,2005_4_86.7_50,2005,1,2,Sample,NA,4/26/05,33.321667,-119.665,33.321667 N 119.665 W,125
CO1_ETOHJAR.0123.S183.L002,Tech_rep_2_0504_93.3_30,0504_93.3_30,131,Tech_rep_2_0504_93.3_30,0504_93.3_30,,2005_4_93.3_30,CO135,CO1_2005_4_93.3_30_1_2,2005_4_93.3_30,2005,1,2,Sample,NA,4/16/05,32.843333,-117.54,32.843333 N 117.54 W,125
CO1_ETOHJAR.0124.S184.L002,Tech_rep_2_0504_93.3_60,0504_93.3_60,132,Tech_rep_2_0504_93.3_60,0504_93.3_60,,2005_4_93.3_60,CO136,CO1_2005_4_93.3_60_1_2,2005_4_93.3_60,2005,1,2,Sample,NA,4/17/05,31.848333,-119.58,31.848333 N 119.58 W,125
CO1_ETOHJAR.0125.S185.L002,Tech_rep_2_0604_80_60,0604_80_60,133,Tech_rep_2_0604_80_60,0604_80_60,,2006_4_80_60,CO137,CO1_2006_4_80_60_1_2,2006_4_80_60,2006,1,2,Sample,NA,4/14/06,34.155,-121.155,34.155 N 121.155 W,125
CO1_ETOHJAR.0126.S186.L002,Tech_rep_2_0604_86.7_50,0604_86.7_50,134,Tech_rep_2_0604_86.7_50,0604_86.7_50,,2006_4_86.7_50,CO138,CO1_2006_4_86.7_50_1_2,2006_4_86.7_50,2006,1,2,Sample,NA,4/9/06,33.318333,-119.65,33.318333 N 119.65 W,125
CO1_ETOHJAR.0127.S187.L002,Tech_rep_2_0604_93.3_30,0604_93.3_30,135,Tech_rep_2_0604_93.3_30,0604_93.3_30,,2006_4_93.3_30,CO139,CO1_2006_4_93.3_30_1_2,2006_4_93.3_30,2006,1,2,Sample,NA,4/2/06,32.846666,-117.533333,32.846666 N 117.533333 W,125
CO1_ETOHJAR.0128.S188.L002,Tech_rep_2_0604_93.3_60,0604_93.3_60,136,Tech_rep_2_0604_93.3_60,0604_93.3_60,,2006_4_93.3_60,CO140,CO1_2006_4_93.3_60_1_2,2006_4_93.3_60,2006,1,2,Sample,NA,4/3/06,31.846666,-119.576666,31.846666 N 119.576666 W,125
CO1_ETOHJAR.0129.S189.L002,Tech_rep_2_0704_80_60,0704_80_60,137,Tech_rep_2_0704_80_60,0704_80_60,,2007_4_80_60,CO141,CO1_2007_4_80_60_1_2,2007_4_80_60,2007,1,2,Sample,NA,4/14/07,34.148333,-121.15,34.148333 N 121.15 W,120
CO1_ETOHJAR.0130.S190.L002,Tech_rep_2_0704_80_60_J2,0704_80_60_J2,138,Tech_rep_2_0704_80_60_J2,0704_80_60_J2,,2007_4_80_60_J2,CO142,CO1_2007_4_80_60_2_2,2007_4_80_60,2007,2,2,Sample,NA,4/14/07,34.148333,-121.15,34.148333 N 121.15 W,120
CO1_ETOHJAR.0131.S191.L002,Tech_rep_2_0704_86.7_50,0704_86.7_50,139,Tech_rep_2_0704_86.7_50,0704_86.7_50,,2007_4_86.7_50,CO143,CO1_2007_4_86.7_50_1_2,2007_4_86.7_50,2007,1,2,Sample,NA,4/8/07,33.323333,-119.66,33.323333 N 119.66 W,125
CO1_ETOHJAR.0132.S192.L002,Tech_rep_2_0704_93.3_30,0704_93.3_30,140,Tech_rep_2_0704_93.3_30,0704_93.3_30,,2007_3_93.3_30,CO144,CO1_2007_3_93.3_30_1_2,2007_3_93.3_30,2007,1,2,Sample,NA,3/28/07,32.845,-117.526666,32.845 N 117.526666 W,125
CO1_ETOHJAR.0133.S193.L002,Tech_rep_2_0704_93.3_60,0704_93.3_60,141,Tech_rep_2_0704_93.3_60,0704_93.3_60,,2007_3_93.3_60,CO145,CO1_2007_3_93.3_60_1_2,2007_3_93.3_60,2007,1,2,Sample,NA,3/29/07,31.846666,-119.566666,31.846666 N 119.566666 W,125
CO1_ETOHJAR.0134.S194.L002,Tech_rep_2_0804_86.7_50,0804_86.7_50,142,Tech_rep_2_0804_86.7_50,0804_86.7_50,,2008_4_86.7_50,CO146,CO1_2008_4_86.7_50_1_2,2008_4_86.7_50,2008,1,2,Sample,NA,4/1/08,33.321666,-119.661666,33.321666 N 119.661666 W,125
CO1_ETOHJAR.0135.S195.L002,Tech_rep_2_Alligator,Alligator,143,Tech_rep_2_Alligator,Alligator,,Alligator,CO147,CO1_Alligator_1_2,Alligator,NA,1,2,Control,Pos,NA,NA,NA,NA,NA
CO1_ETOHJAR.0136.S196.L002,Tech_rep_2_PCR_neg,PCR_neg,144,Tech_rep_2_PCR_neg,PCR_neg,,PCR_negative,CO148,CO1_PCR_negative_1_2,PCR_negative,NA,1,2,Control,Neg,NA,NA,NA,NA,NA
CO1_ETOHJAR.0137.S197.L002,Tech_rep_2_0804_93.3_30,0804_93.3_30,145,Tech_rep_2_0804_93.3_30,0804_93.3_30,,2008_3_93.3_30,CO149,CO1_2008_3_93.3_30_1_2,2008_3_93.3_30,2008,1,2,Sample,NA,3/25/08,32.845,-117.53,32.845 N 117.53 W,125
CO1_ETOHJAR.0138.S198.L002,Tech_rep_2_0804_93.3_60,0804_93.3_60,146,Tech_rep_2_0804_93.3_60,0804_93.3_60,,2008_3_93.3_60,CO150,CO1_2008_3_93.3_60_1_2,2008_3_93.3_60,2008,1,2,Sample,NA,3/26/08,31.845,-119.57,31.845 N 119.57 W,125
CO1_ETOHJAR.0139.S199.L002,Tech_rep_2_0903_80_60,0903_80_60,147,Tech_rep_2_0903_80_60,0903_80_60,,2009_3_80_60,CO151,CO1_2009_3_80_60_1_2,2009_3_80_60,2009,1,2,Sample,NA,3/20/09,34.15,-121.146666,34.15 N 121.146666 W,125
CO1_ETOHJAR.0140.S200.L002,Tech_rep_2_0903_86.7_50_J1,0903_86.7_50_J1,148,Tech_rep_2_0903_86.7_50_J1,0903_86.7_50_J1,,2009_3_86.7_50_J1,CO152,CO1_2009_3_86.7_50_1_2,2009_3_86.7_50,2009,1,2,Sample,NA,3/15/09,33.323333,-119.663333,33.323333 N 119.663333 W,34
CO1_ETOHJAR.0141.S201.L002,Tech_rep_2_0903_86.7_50_J2,0903_86.7_50_J2,149,Tech_rep_2_0903_86.7_50_J2,0903_86.7_50_J2,,2009_3_86.7_50_J2,CO153,CO1_2009_3_86.7_50_2_2,2009_3_86.7_50,2009,2,2,Sample,NA,3/15/09,33.323333,-119.663333,33.323333 N 119.663333 W,34
CO1_ETOHJAR.0142.S202.L002,Tech_rep_2_0903_86.7_50_J3,0903_86.7_50_J3,150,Tech_rep_2_0903_86.7_50_J3,0903_86.7_50_J3,,2009_3_86.7_50_J3,CO154,CO1_2009_3_86.7_50_3_2,2009_3_86.7_50,2009,3,2,Sample,NA,3/15/09,33.323333,-119.663333,33.323333 N 119.663333 W,34
CO1_ETOHJAR.0143.S203.L002,Tech_rep_2_0903_93.3_30,0903_93.3_30,151,Tech_rep_2_0903_93.3_30,0903_93.3_30,,2009_3_93.3_30,CO155,CO1_2009_3_93.3_30_1_2,2009_3_93.3_30,2009,1,2,Sample,NA,3/8/09,32.846666,-117.535,32.846666 N 117.535 W,125
CO1_ETOHJAR.0144.S204.L002,Tech_rep_2_0903_93.3_60,0903_93.3_60,152,Tech_rep_2_0903_93.3_60,0903_93.3_60,,2009_3_93.3_60,CO156,CO1_2009_3_93.3_60_1_2,2009_3_93.3_60,2009,1,2,Sample,NA,3/9/09,31.85,-119.57,31.85 N 119.57 W,125
CO1_ETOHJAR.0145.S205.L002,Tech_rep_2_1004_80_60,1004_80_60,153,Tech_rep_2_1004_80_60,1004_80_60,,2010_5_80_60,CO157,CO1_2010_5_80_60_1_2,2010_5_80_60,2010,1,2,Sample,NA,5/17/10,34.146667,-121.143333,34.146667 N 121.143333 W,125
CO1_ETOHJAR.0146.S206.L002,Tech_rep_2_1004_93.3_30,1004_93.3_30,154,Tech_rep_2_1004_93.3_30,1004_93.3_30,,2010_4_93.3_30,CO158,CO1_2010_4_93.3_30_1_2,2010_4_93.3_30,2010,1,2,Sample,NA,4/27/10,32.848333,-117.531667,32.848333 N 117.531667 W,125
CO1_ETOHJAR.0147.S207.L002,Tech_rep_2_1004_93.3_60,1004_93.3_60,155,Tech_rep_2_1004_93.3_60,1004_93.3_60,,2010_4_93.3_60,CO159,CO1_2010_4_93.3_60_1_2,2010_4_93.3_60,2010,1,2,Sample,NA,4/28/10,31.848333,-119.57,31.848333 N 119.57 W,125
CO1_ETOHJAR.0148.S208.L002,Tech_rep_2_1104_80_60,1104_80_60,156,Tech_rep_2_1104_80_60,1104_80_60,,2011_4_80_60,CO160,CO1_2011_4_80_60_1_2,2011_4_80_60,2011,1,2,Sample,NA,4/23/11,34.15,-121.155,34.15 N 121.155 W,50
CO1_ETOHJAR.0149.S209.L002,Tech_rep_2_1104_86.7_50,1104_86.7_50,157,Tech_rep_2_1104_86.7_50,1104_86.7_50,,2011_4_86.7_50,CO161,CO1_2011_4_86.7_50_1_2,2011_4_86.7_50,2011,1,2,Sample,NA,4/18/11,33.325,-119.668333,33.325 N 119.668333 W,125
CO1_ETOHJAR.0150.S210.L002,Tech_rep_2_1104_93.3_30,1104_93.3_30,158,Tech_rep_2_1104_93.3_30,1104_93.3_30,,2011_4_93.3_30,CO162,CO1_2011_4_93.3_30_1_2,2011_4_93.3_30,2011,1,2,Sample,NA,4/10/11,32.848333,-117.528333,32.848333 N 117.528333 W,125
CO1_ETOHJAR.0151.S211.L002,Tech_rep_2_1104_93.3_60,1104_93.3_60,159,Tech_rep_2_1104_93.3_60,1104_93.3_60,,2011_4_93.3_60,CO163,CO1_2011_4_93.3_60_1_2,2011_4_93.3_60,2011,1,2,Sample,NA,4/11/11,31.851667,-119.578333,31.851667 N 119.578333 W,125
CO1_ETOHJAR.0152.S212.L002,Tech_rep_2_1203_80_60,1203_80_60,160,Tech_rep_2_1203_80_60,1203_80_60,,2012_4_80_60,CO164,CO1_2012_4_80_60_1_2,2012_4_80_60,2012,1,2,Sample,NA,4/6/12,34.151667,-121.148333,34.151667 N 121.148333 W,125
CO1_ETOHJAR.0153.S213.L002,Tech_rep_2_1203_86.7_50,1203_86.7_50,161,Tech_rep_2_1203_86.7_50,1203_86.7_50,,2012_3_86.7_50,CO165,CO1_2012_3_86.7_50_1_2,2012_3_86.7_50,2012,1,2,Sample,NA,3/31/12,33.321667,-119.665,33.321667 N 119.665 W,125
CO1_ETOHJAR.0154.S214.L002,Tech_rep_2_1203_93.3_30,1203_93.3_30,162,Tech_rep_2_1203_93.3_30,1203_93.3_30,,2012_3_93.3_30,CO166,CO1_2012_3_93.3_30_1_2,2012_3_93.3_30,2012,1,2,Sample,NA,3/25/12,32.843333,-117.533333,32.843333 N 117.533333 W,125
CO1_ETOHJAR.0155.S215.L002,Tech_rep_2_1203_93.3_60,1203_93.3_60,163,Tech_rep_2_1203_93.3_60,1203_93.3_60,,2012_3_93.3_60,CO167,CO1_2012_3_93.3_60_1_2,2012_3_93.3_60,2012,1,2,Sample,NA,3/26/12,31.845,-119.573333,31.845 N 119.573333 W,125
CO1_ETOHJAR.0156.S216.L002,Tech_rep_2_1304_80_60,1304_80_60,164,Tech_rep_2_1304_80_60,1304_80_60,,2013_4_80_60,CO168,CO1_2013_4_80_60_1_2,2013_4_80_60,2013,1,2,Sample,NA,4/20/13,34.15232,-121.16733,34.15232 N 121.16733 W,125
