"","seq_number","sum.taxonomy"
"1","merged_CO1_1187","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"2","merged_CO1_1585","Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Luciosoma;Luciosoma setigerum"
"3","unmerged_CO1_1122","Eukaryota;Chordata;Mammalia;Carnivora;Canidae;;"
"4","unmerged_CO1_1123","Eukaryota;Chordata;;;;;"
"5","unmerged_CO1_1124","Eukaryota;Chordata;;;;;"
"6","unmerged_CO1_1125","Eukaryota;Chordata;;;;;"
"7","unmerged_CO1_1126","Eukaryota;Chordata;Mammalia;;;;"
"8","unmerged_CO1_2958","Eukaryota;;Heterolobosea;Schizopyrenida;Vahlkampfiidae;Naegleria;"
"9","unmerged_CO1_2959","Eukaryota;;Heterolobosea;Schizopyrenida;Vahlkampfiidae;Naegleria;Naegleria fowleri"
"10","unmerged_CO1_11544",""
"11","unmerged_CO1_11550","Eukaryota;Arthropoda;;;;;"
"12","unmerged_CO1_11552","Eukaryota;Arthropoda;;;;;"
"13","unmerged_CO1_14596","Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Sphaeronectidae;Sphaeronectes;Sphaeronectes gracilis"
"14","unmerged_CO1_14620",""
"15","unmerged_CO1_14637","Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Sphaeronectidae;Sphaeronectes;Sphaeronectes gracilis"
"16","unmerged_CO1_14826","Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Sphaeronectidae;Sphaeronectes;Sphaeronectes gracilis"
"17","unmerged_CO1_15298","Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Sphaeronectidae;Sphaeronectes;Sphaeronectes gracilis"
"18","unmerged_CO1_18331","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"19","unmerged_CO1_23750","Eukaryota;Arthropoda;Insecta;Psocoptera;Liposcelidae;Liposcelis;Liposcelis corrodens"
"20","unmerged_CO1_24093","Eukaryota;Arthropoda;Insecta;Hymenoptera;;;"
"21","unmerged_CO1_24094","Eukaryota;Arthropoda;;;;;"
"22","unmerged_CO1_26754","Eukaryota;Chordata;Mammalia;;;;"
"23","unmerged_CO1_31467","Eukaryota;Annelida;Polychaeta;Capitellida;Capitellidae;Dasybranchus;Dasybranchus sp. DH1"
"24","unmerged_CO1_38478","Eukaryota;Rotifera;Monogononta;Ploima;Lecanidae;Lecane;Lecane closterocerca"
"25","unmerged_CO1_38479","Eukaryota;Rotifera;Monogononta;Ploima;Lecanidae;Lecane;Lecane closterocerca"
"26","unmerged_CO1_38480","Eukaryota;Rotifera;Monogononta;Ploima;;;"
"27","unmerged_CO1_38481","Eukaryota;Rotifera;Monogononta;Ploima;Brachionidae;Euchlanis;Euchlanis dilatata"
"28","unmerged_CO1_38482","Eukaryota;;;;;;"
"29","unmerged_CO1_38951","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"30","unmerged_CO1_39004","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"31","unmerged_CO1_39565","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"32","unmerged_CO1_39573","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"33","unmerged_CO1_39574","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"34","unmerged_CO1_41819","Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Muggiaea;Muggiaea atlantica"
"35","unmerged_CO1_41842","Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Muggiaea;Muggiaea atlantica"
"36","unmerged_CO1_41852","Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Muggiaea;Muggiaea atlantica"
"37","unmerged_CO1_41868","Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Muggiaea;Muggiaea atlantica"
"38","unmerged_CO1_46322","Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia;Clytia sp. 701AC"
"39","unmerged_CO1_46323","Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia;Clytia sp. 701AC"
"40","unmerged_CO1_46328","Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia;Clytia sp. 701AC"
"41","unmerged_CO1_46329","Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia;Clytia sp. 701AC"
"42","unmerged_CO1_48263",""
"43","unmerged_CO1_51774","Eukaryota;Arthropoda;Insecta;Psocoptera;Liposcelidae;Liposcelis;Liposcelis corrodens"
"44","unmerged_CO1_51775","Eukaryota;Arthropoda;Insecta;Psocoptera;Liposcelidae;Liposcelis;Liposcelis corrodens"
"45","unmerged_CO1_51778","Eukaryota;Arthropoda;Insecta;Psocoptera;Liposcelidae;Liposcelis;Liposcelis corrodens"
"46","unmerged_CO1_51781","Eukaryota;Arthropoda;Insecta;Psocoptera;Liposcelidae;Liposcelis;Liposcelis corrodens"
