"Expedition","Staline","StaNo","Event_No","Location","latitude","longitude","SampleDate","StartTime","EndTime","MinDepth","MaxDepth","Net","Size_Fr","Mesh","Tow","Fixative","Preservative","Cruise","cruise_site","site","year","month","season","Lon_deg_r","Lat_deg_r","year_site","year_season_site"
"CALCOFI 2010",80,50.5,NA,"34.452, -120.485",34.452,-120.485,"2020-10-21","02:53","02:55",0,10,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","202010","202010:80_50.5","80_50.5","2020",10,"Fall",-120.5,34.5,"2020:80_50.5","2020:Fall_80_50.5"
"CALCOFI 2010",76.7,49,NA,"35.088, -120.777",35.088,-120.777,"2020-10-21","08:06","08:11",0,43,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","202010","202010:76.7_49","76.7_49","2020",10,"Fall",-120.8,35.1,"2020:76.7_49","2020:Fall_76.7_49"
"CALCOFI 2010",76.7,55,NA,"34.888, -121.203",34.888,-121.203,"2020-10-21","13:02","13:25",0,204,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","202010","202010:76.7_55","76.7_55","2020",10,"Fall",-121.2,34.9,"2020:76.7_55","2020:Fall_76.7_55"
"CALCOFI 2010",76.7,60,NA,"34.722, -121.552",34.722,-121.552,"2020-10-21","16:40","17:03",0,211,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","202010","202010:76.7_60","76.7_60","2020",10,"Fall",-121.6,34.7,"2020:76.7_60","2020:Fall_76.7_60"
"CALCOFI 2010",83.3,55,NA,"33.747, -120.412",33.747,-120.412,"2020-10-23","04:31","04:53",0,208,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","202010","202010:83.3_55","83.3_55","2020",10,"Fall",-120.4,33.7,"2020:83.3_55","2020:Fall_83.3_55"
"CALCOFI 2010",83.3,51,NA,"33.878, -120.135",33.878,-120.135,"2020-10-23","07:16","07:23",0,68,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","202010","202010:83.3_51","83.3_51","2020",10,"Fall",-120.1,33.9,"2020:83.3_51","2020:Fall_83.3_51"
"CALCOFI 2010",81.8,46.9,NA,"34.273, -120.028",34.273,-120.028,"2020-10-23","12:23","12:45",0,210,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","202010","202010:81.8_46.9","81.8_46.9","2020",10,"Fall",-120,34.3,"2020:81.8_46.9","2020:Fall_81.8_46.9"
"CALCOFI 2010",81.7,43.5,NA,"34.402, -119.802",34.402,-119.802,"2020-10-23","14:33","14:36",0,14,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","202010","202010:81.7_43.5","81.7_43.5","2020",10,"Fall",-119.8,34.4,"2020:81.7_43.5","2020:Fall_81.7_43.5"
"CALCOFI 2010",83.3,40.6,NA,"34.225, -119.412",34.225,-119.412,"2020-10-23","18:55","18:59",0,22,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","202010","202010:83.3_40.6","83.3_40.6","2020",10,"Fall",-119.4,34.2,"2020:83.3_40.6","2020:Fall_83.3_40.6"
"CALCOFI 2010",83.3,39.4,NA,"34.258, -119.323",34.258,-119.323,"2020-10-23","19:59","20:01",0,13,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","202010","202010:83.3_39.4","83.3_39.4","2020",10,"Fall",-119.3,34.3,"2020:83.3_39.4","2020:Fall_83.3_39.4"
"CALCOFI 2010",85.4,35.8,NA,"34.012, -118.832",34.012,-118.832,"2020-10-23","23:24","23:26",0,10,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","202010","202010:85.4_35.8","85.4_35.8","2020",10,"Fall",-118.8,34,"2020:85.4_35.8","2020:Fall_85.4_35.8"
