Seq_number,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type,Date,Lat,Lon,Lat Lon,ext_rep,tech_rep,Volume,,sample,Cruise_ID,Date,Lat_Dec,Lon_Dec,Volume_mL,Location,ext_rep,tech_rep
Miu.1.b.40.S88,MiFish,MiFish_2018_4_86.7_50_1_1,2018_4_86.7_50,2018,1,1,Sample,NA,2018-04-12,33.31112,-119.6585,33.31112 N 119.6585 W,1,1,125,,,,,,,,2004_3_93.3_30,1,1
Miu.1.b.41.S89,MiFish,MiFish_2018_4_86.7_50_2_1,2018_4_86.7_50,2018,2,1,Sample,NA,2018-04-12,33.31112,-119.6585,33.31112 N 119.6585 W,1,1,125,,,,,,,,2004_3_93.3_30,1,2
Miu.1.b.42.S90,MiFish,MiFish_2018_4_93.3_30_1_1,2018_4_93.3_30,2018,1,1,Sample,NA,2018-04-06,32.84637,-117.5232,32.84637 N 117.5232 W,1,1,125,,,,,,,,2004_3_93.3_30,1,3
Miu.1.b.43.S91,MiFish,MiFish_2018_4_93.3_60_1_1,2018_4_93.3_60,2018,1,1,Sample,NA,2018-04-07,31.84667,-119.5725,31.84667 N 119.5725 W,1,1,125,,,,,,,,2004_3_93.3_60,1,1
Miu.1.b.44.S92,MiFish,MiFish_2019_4_80_60_1_1,2019_4_80_60,2019,1,1,Sample,NA,2019-04-15,34.14882,-121.15433,34.14882 N 121.15433 W,1,1,125,,,,,,,,2004_3_93.3_60,1,2
Miu.1.b.45.S93,MiFish,MiFish_2019_4_80_60_2_1,2019_4_80_60,2019,2,1,Sample,NA,2019-04-15,34.14882,-121.15433,34.14882 N 121.15433 W,1,1,125,,,,,,,,2004_3_93.3_60,1,3
Miu.1.b.46.S94,MiFish,MiFish_2019_4_86.7_50_1_1,2019_4_86.7_50,2019,1,1,Sample,NA,2019-04-08,33.32117,-119.66517,33.32117 N 119.66517 W,1,1,125,,,,,,,,2004_4_80_60,1,1
Miu.1.b.47.S95,MiFish,MiFish_2019_4_93.3_30_1_1,2019_4_93.3_30,2019,1,1,Sample,NA,2019-04-03,32.845,-117.52782,32.845 N 117.52782 W,1,1,125,,,,,,,,2004_4_80_60,1,2
Miu.1.b.48.S96,MiFish,MiFish_2019_4_93.3_60_1_1,2019_4_93.3_60,2019,1,1,Sample,NA,2019-04-04,31.84682,-119.57432,31.84682 N 119.57432 W,1,1,125,,,,,,,,2004_4_80_60,1,3
Miu.1.b.49.S97,MiFish,MiFish_Blank_1__1_1,Blank_1_,NA,1,1,Control,Neg,NA,NA,NA,NA,NA,NA,NA,,,,,,,,2005_4_80_60,1,1
Miu.1.b.50.S98,MiFish,MiFish_Exp_2__1_1,Exp_2_,NA,1,1,Control,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,2005_4_80_60,1,2
Miu.1.b.51.S99,MiFish,MiFish_Camel_1_1,Camel,NA,1,1,Control,Pos,NA,NA,NA,NA,NA,NA,NA,,,,,,,,2005_4_80_60,1,3
Miu.1.b.52.S100,MiFish,MiFish_PCR_Negative_1_1,PCR_Negative,NA,1,1,Control,Neg,NA,NA,NA,NA,NA,NA,NA,,,,,,,,2005_4_86.7_50,1,1
Miu.2.a.01.S101,MiFish,MiFish_1996_4_80_60_1_2,1996_4_80_60,1996,1,2,Sample,NA,1996-04-28,34.151666,-121.148333,34.151666 N 121.148333 W,1,1,125,,,,,,,,2005_4_86.7_50,1,2
Miu.2.a.02.S102,MiFish,MiFish_1996_4_86.7_50_1_2,1996_4_86.7_50,1996,1,2,Sample,NA,1996-04-23,33.325,-119.661666,33.325 N 119.661666 W,1,1,125,,,,,,,,2005_4_86.7_50,1,3
Miu.2.a.03.S103,MiFish,MiFish_1996_4_93.3_30_1_2,1996_4_93.3_30,1996,1,2,Sample,NA,1996-04-16,32.848333,-117.526666,32.848333 N 117.526666 W,1,1,125,,,,,,,,2005_4_93.3_30,1,1
Miu.2.a.04.S104,MiFish,MiFish_1996_4_93.3_60_1_2,1996_4_93.3_60,1996,1,2,Sample,NA,1996-04-17,31.848333,-119.571666,31.848333 N 119.571666 W,1,1,125,,,,,,,,2005_4_93.3_30,1,2
Miu.2.a.05.S105,MiFish,MiFish_1998_4_80_60_1_2,1998_4_80_60,1998,1,2,Sample,NA,1998-04-15,34.151666,-121.145,34.151666 N 121.145 W,1,1,125,,,,,,,,2005_4_93.3_30,1,3
Miu.2.a.06.S106,MiFish,MiFish_1998_4_86.7_50_1_2,1998_4_86.7_50,1998,1,2,Sample,NA,1998-04-10,33.323333,-119.663333,33.323333 N 119.663333 W,1,1,125,,,,,,,,2005_4_93.3_60,1,1
Miu.2.a.07.S107,MiFish,MiFish_1998_4_93.3_30_1_2,1998_4_93.3_30,1998,1,2,Sample,NA,1998-04-03,32.848333,-117.528333,32.848333 N 117.528333 W,1,1,125,,,,,,,,2005_4_93.3_60,1,2
Miu.2.a.08.S108,MiFish,MiFish_1998_4_93.3_60_1_2,1998_4_93.3_60,1998,1,2,Sample,NA,1998-04-04,31.846666,-119.571666,31.846666 N 119.571666 W,1,1,125,,,,,,,,2005_4_93.3_60,1,3
Miu.2.a.09.S109,MiFish,MiFish_1999_4_80_60_1_2,1999_4_80_60,1999,1,2,Sample,NA,1999-04-13,34.153333,-121.146666,34.153333 N 121.146666 W,1,1,125,,,,,,,,2006_4_80_60,1,1
Miu.2.a.10.S110,MiFish,MiFish_1999_4_86.7_50_1_2,1999_4_86.7_50,1999,1,2,Sample,NA,1999-04-08,33.325,-119.663333,33.325 N 119.663333 W,1,1,125,,,,,,,,2006_4_80_60,1,2
Miu.2.a.11.S111,MiFish,MiFish_1999_4_93.3_30_1_2,1999_4_93.3_30,1999,1,2,Sample,NA,1999-04-02,32.845,-117.53,32.845 N 117.53 W,1,1,125,,,,,,,,2006_4_80_60,1,3
Miu.2.a.12.S112,MiFish,MiFish_1999_4_93.3_60_1_2,1999_4_93.3_60,1999,1,2,Sample,NA,1999-04-03,31.85,-119.568333,31.85 N 119.568333 W,1,1,125,,,,,,,,2006_4_86.7_50,1,1
Miu.2.a.13.S113,MiFish,MiFish_2000_4_80_60_1_2,2000_4_80_60,2000,1,2,Sample,NA,2000-04-19,34.148333,-121.156666,34.148333 N 121.156666 W,1,1,125,,,,,,,,2006_4_86.7_50,1,2
Miu.2.a.14.S114,MiFish,MiFish_2000_4_86.7_50_1_2,2000_4_86.7_50,2000,1,2,Sample,NA,2000-04-15,33.323333,-119.666666,33.323333 N 119.666666 W,1,1,125,,,,,,,,2006_4_86.7_50,1,3
Miu.2.a.15.S115,MiFish,MiFish_2000_4_93.3_30_1_2,2000_4_93.3_30,2000,1,2,Sample,NA,2000-04-08,32.846666,-117.538333,32.846666 N 117.538333 W,1,1,125,,,,,,,,2006_4_93.3_30,1,1
Miu.2.a.16.S116,MiFish,MiFish_2000_4_93.3_60_1_2,2000_4_93.3_60,2000,1,2,Sample,NA,2000-04-09,31.85,-119.568333,31.85 N 119.568333 W,1,1,125,,,,,,,,2006_4_93.3_30,1,2
Miu.2.a.17.S117,MiFish,MiFish_2001_4_80_60_1_2,2001_4_80_60,2001,1,2,Sample,NA,2001-04-20,34.145,-121.161666,34.145 N 121.161666 W,1,1,75,,,,,,,,2006_4_93.3_30,1,3
Miu.2.a.18.S118,MiFish,MiFish_2001_4_86.7_50_1_2,2001_4_86.7_50,2001,1,2,Sample,NA,2001-04-14,33.32,-119.66,33.32 N 119.66 W,1,1,125,,,,,,,,2006_4_93.3_60,1,1
Miu.2.a.19.S119,MiFish,MiFish_2001_4_93.3_30_1_2,2001_4_93.3_30,2001,1,2,Sample,NA,2001-04-07,32.845,-117.531666,32.845 N 117.531666 W,1,1,125,,,,,,,,2006_4_93.3_60,1,2
Miu.2.a.20.S120,MiFish,MiFish_2001_4_93.3_60_1_2,2001_4_93.3_60,2001,1,2,Sample,NA,2001-04-08,31.855,-119.568333,31.855 N 119.568333 W,1,1,125,,,,,,,,2006_4_93.3_60,1,3
Miu.2.a.21.S121,MiFish,MiFish_2002_4_80_60_1_2,2002_4_80_60,2002,1,2,Sample,NA,2002-04-09,34.146666,-121.155,34.146666 N 121.155 W,1,1,75,,,,,,,,2007_3_93.3_30,1,1
Miu.2.a.22.S122,MiFish,MiFish_2002_4_86.7_50_1_2,2002_4_86.7_50,2002,1,2,Sample,NA,2002-04-04,33.323333,-119.656666,33.323333 N 119.656666 W,1,1,125,,,,,,,,2007_3_93.3_30,1,2
Miu.2.a.23.S123,MiFish,MiFish_2002_3_93.3_30_1_2,2002_3_93.3_30,2002,1,2,Sample,NA,2002-03-29,32.848333,-117.531666,32.848333 N 117.531666 W,1,1,125,,,,,,,,2007_3_93.3_30,1,3
Miu.2.a.24.S124,MiFish,MiFish_2002_3_93.3_60_1_2,2002_3_93.3_60,2002,1,2,Sample,NA,2002-03-30,31.846666,-119.571666,31.846666 N 119.571666 W,1,1,125,,,,,,,,2007_3_93.3_60,1,1
Miu.2.a.25.S125,MiFish,MiFish_2003_4_80_60_1_2,2003_4_80_60,2003,1,2,Sample,NA,2003-04-16,34.155,-121.13,34.155 N 121.13 W,1,1,125,,,,,,,,2007_3_93.3_60,1,2
Miu.2.a.26.S126,MiFish,MiFish_2003_4_86.7_50_1_2,2003_4_86.7_50,2003,1,2,Sample,NA,2003-04-11,33.323333,-119.663333,33.323333 N 119.663333 W,1,1,125,,,,,,,,2007_3_93.3_60,1,3
Miu.2.a.27.S127,MiFish,MiFish_2003_4_93.3_30_1_2,2003_4_93.3_30,2003,1,2,Sample,NA,2003-04-24,32.846666,-117.531666,32.846666 N 117.531666 W,1,1,125,,,,,,,,2007_4_80_60,1,1
Miu.2.a.28.S128,MiFish,MiFish_2003_4_93.3_60_1_2,2003_4_93.3_60,2003,1,2,Sample,NA,2003-04-23,31.846666,-119.571666,31.846666 N 119.571666 W,1,1,125,,,,,,,,2007_4_80_60,2,1
Miu.2.a.29.S129,MiFish,MiFish_2004_4_80_60_1_2,2004_4_80_60,2004,1,2,Sample,NA,2004-04-04,34.153333,-121.153333,34.153333 N 121.153333 W,1,1,125,,,,,,,,2007_4_80_60,1,2
Miu.2.a.30.S130,MiFish,MiFish_2004_3_86.7_50_1_2,2004_3_86.7_50,2004,1,2,Sample,NA,2004-03-30,33.323333,-119.661666,33.323333 N 119.661666 W,1,1,125,,,,,,,,2007_4_80_60,2,2
Miu.2.a.31.S131,MiFish,MiFish_2004_3_93.3_30_1_2,2004_3_93.3_30,2004,1,2,Sample,NA,2004-03-24,32.846666,-117.531666,32.846666 N 117.531666 W,1,1,125,,,,,,,,2007_4_80_60,1,3
Miu.2.a.32.S132,MiFish,MiFish_2004_3_93.3_60_1_2,2004_3_93.3_60,2004,1,2,Sample,NA,2004-03-25,31.846666,-119.575,31.846666 N 119.575 W,1,1,125,,,,,,,,2007_4_80_60,2,3
Miu.2.a.33.S133,MiFish,MiFish_2005_4_80_60_1_2,2005_4_80_60,2005,1,2,Sample,NA,2005-04-27,34.146667,-121.15,34.146667 N 121.15 W,1,1,125,,,,,,,,2007_4_86.7_50,1,1
Miu.2.a.34.S134,MiFish,MiFish_2005_4_86.7_50_1_2,2005_4_86.7_50,2005,1,2,Sample,NA,2005-04-26,33.321667,-119.665,33.321667 N 119.665 W,1,1,125,,,,,,,,2007_4_86.7_50,1,2
Miu.2.a.35.S135,MiFish,MiFish_2005_4_93.3_30_1_2,2005_4_93.3_30,2005,1,2,Sample,NA,2005-04-16,32.843333,-117.54,32.843333 N 117.54 W,1,1,125,,,,,,,,2007_4_86.7_50,1,3
Miu.2.a.36.S136,MiFish,MiFish_2005_4_93.3_60_1_2,2005_4_93.3_60,2005,1,2,Sample,NA,2005-04-17,31.848333,-119.58,31.848333 N 119.58 W,1,1,125,,,,,,,,2008_3_93.3_30,1,1
Miu.2.a.37.S137,MiFish,MiFish_2006_4_80_60_1_2,2006_4_80_60,2006,1,2,Sample,NA,2006-04-14,34.155,-121.155,34.155 N 121.155 W,1,1,125,,,,,,,,2008_3_93.3_30,1,2
Miu.2.a.38.S138,MiFish,MiFish_2006_4_86.7_50_1_2,2006_4_86.7_50,2006,1,2,Sample,NA,2006-04-09,33.318333,-119.65,33.318333 N 119.65 W,1,1,125,,,,,,,,2008_3_93.3_30,1,3
Miu.2.a.39.S139,MiFish,MiFish_2006_4_93.3_30_1_2,2006_4_93.3_30,2006,1,2,Sample,NA,2006-04-02,32.846666,-117.533333,32.846666 N 117.533333 W,1,1,125,,,,,,,,2008_3_93.3_60,1,1
Miu.2.a.40.S140,MiFish,MiFish_2006_4_93.3_60_1_2,2006_4_93.3_60,2006,1,2,Sample,NA,2006-04-03,31.846666,-119.576666,31.846666 N 119.576666 W,1,1,125,,,,,,,,2008_3_93.3_60,1,2
Miu.2.a.41.S141,MiFish,MiFish_2007_4_80_60_1_2,2007_4_80_60,2007,1,2,Sample,NA,2007-04-14,34.148333,-121.15,34.148333 N 121.15 W,1,1,120,,,,,,,,2008_3_93.3_60,1,3
Miu.2.a.42.S142,MiFish,MiFish_2007_4_80_60_2_2,2007_4_80_60,2007,2,2,Sample,NA,2007-04-14,34.148333,-121.15,34.148333 N 121.15 W,1,1,120,,,,,,,,2008_4_86.7_50,1,1
Miu.2.a.43.S143,MiFish,MiFish_2007_4_86.7_50_1_2,2007_4_86.7_50,2007,1,2,Sample,NA,2007-04-08,33.323333,-119.66,33.323333 N 119.66 W,1,1,125,,,,,,,,2008_4_86.7_50,1,2
Miu.2.a.44.S144,MiFish,MiFish_2007_3_93.3_30_1_2,2007_3_93.3_30,2007,1,2,Sample,NA,2007-03-28,32.845,-117.526666,32.845 N 117.526666 W,1,1,125,,,,,,,,2008_4_86.7_50,1,3
Miu.2.a.45.S145,MiFish,MiFish_2007_3_93.3_60_1_2,2007_3_93.3_60,2007,1,2,Sample,NA,2007-03-29,31.846666,-119.566666,31.846666 N 119.566666 W,1,1,125,,,,,,,,2009_3_80_60,1,1
Miu.2.a.46.S146,MiFish,MiFish_2008_4_86.7_50_1_2,2008_4_86.7_50,2008,1,2,Sample,NA,2008-04-01,33.321666,-119.661666,33.321666 N 119.661666 W,1,1,125,,,,,,,,2009_3_80_60,1,2
Miu.2.a.47.S147,MiFish,MiFish_Alligator_1_2,Alligator,NA,1,2,Control,Pos,NA,NA,NA,NA,NA,NA,NA,,,,,,,,2009_3_80_60,1,3
Miu.2.a.48.S148,MiFish,MiFish_PCR_negative_1_2,PCR_negative,NA,1,2,Control,Pos,NA,NA,NA,NA,NA,NA,NA,,,,,,,,2009_3_86.7_50,1,1
Miu.2.b.01.S149,MiFish,MiFish_2008_3_93.3_30_1_2,2008_3_93.3_30,2008,1,2,Sample,NA,2008-03-25,32.845,-117.53,32.845 N 117.53 W,1,1,125,,,,,,,,2009_3_86.7_50,2,1
Miu.2.b.02.S150,MiFish,MiFish_2008_3_93.3_60_1_2,2008_3_93.3_60,2008,1,2,Sample,NA,2008-03-26,31.845,-119.57,31.845 N 119.57 W,1,1,125,,,,,,,,2009_3_86.7_50,3,1
Miu.2.b.03.S151,MiFish,MiFish_2009_3_80_60_1_2,2009_3_80_60,2009,1,2,Sample,NA,2009-03-20,34.15,-121.146666,34.15 N 121.146666 W,1,1,125,,,,,,,,2009_3_86.7_50,1,2
Miu.2.b.04.S152,MiFish,MiFish_2009_3_86.7_50_1_2,2009_3_86.7_50,2009,1,2,Sample,NA,2009-03-15,33.323333,-119.663333,33.323333 N 119.663333 W,1,1,34,,,,,,,,2009_3_86.7_50,2,2
Miu.2.b.05.S153,MiFish,MiFish_2009_3_86.7_50_2_2,2009_3_86.7_50,2009,2,2,Sample,NA,2009-03-15,33.323333,-119.663333,33.323333 N 119.663333 W,1,1,34,,,,,,,,2009_3_86.7_50,3,2
Miu.2.b.06.S154,MiFish,MiFish_2009_3_86.7_50_3_2,2009_3_86.7_50,2009,3,2,Sample,NA,2009-03-15,33.323333,-119.663333,33.323333 N 119.663333 W,1,1,34,,,,,,,,2009_3_86.7_50,1,3
Miu.2.b.07.S155,MiFish,MiFish_2009_3_93.3_30_1_2,2009_3_93.3_30,2009,1,2,Sample,NA,2009-03-08,32.846666,-117.535,32.846666 N 117.535 W,1,1,125,,,,,,,,2009_3_86.7_50,2,3
Miu.2.b.08.S156,MiFish,MiFish_2009_3_93.3_60_1_2,2009_3_93.3_60,2009,1,2,Sample,NA,2009-03-09,31.85,-119.57,31.85 N 119.57 W,1,1,125,,,,,,,,2009_3_86.7_50,3,3
Miu.2.b.09.S157,MiFish,MiFish_2010_5_80_60_1_2,2010_5_80_60,2010,1,2,Sample,NA,2010-05-17,34.146667,-121.143333,34.146667 N 121.143333 W,1,1,125,,,,,,,,2009_3_93.3_30,1,1
Miu.2.b.10.S158,MiFish,MiFish_2010_4_93.3_30_1_2,2010_4_93.3_30,2010,1,2,Sample,NA,2010-04-27,32.848333,-117.531667,32.848333 N 117.531667 W,1,1,125,,,,,,,,2009_3_93.3_30,1,2
Miu.2.b.11.S159,MiFish,MiFish_2010_4_93.3_60_1_2,2010_4_93.3_60,2010,1,2,Sample,NA,2010-04-28,31.848333,-119.57,31.848333 N 119.57 W,1,1,125,,,,,,,,2009_3_93.3_30,1,3
Miu.2.b.12.S160,MiFish,MiFish_2011_4_80_60_1_2,2011_4_80_60,2011,1,2,Sample,NA,2011-04-23,34.15,-121.155,34.15 N 121.155 W,1,1,50,,,,,,,,2009_3_93.3_60,1,1
Miu.2.b.13.S161,MiFish,MiFish_2011_4_86.7_50_1_2,2011_4_86.7_50,2011,1,2,Sample,NA,2011-04-18,33.325,-119.668333,33.325 N 119.668333 W,1,1,125,,,,,,,,2009_3_93.3_60,1,2
Miu.2.b.14.S162,MiFish,MiFish_2011_4_93.3_30_1_2,2011_4_93.3_30,2011,1,2,Sample,NA,2011-04-10,32.848333,-117.528333,32.848333 N 117.528333 W,1,1,125,,,,,,,,2009_3_93.3_60,1,3
Miu.2.b.15.S163,MiFish,MiFish_2011_4_93.3_60_1_2,2011_4_93.3_60,2011,1,2,Sample,NA,2011-04-11,31.851667,-119.578333,31.851667 N 119.578333 W,1,1,125,,,,,,,,2010_4_93.3_30,1,1
Miu.2.b.16.S164,MiFish,MiFish_2012_4_80_60_1_2,2012_4_80_60,2012,1,2,Sample,NA,2012-04-06,34.151667,-121.148333,34.151667 N 121.148333 W,1,1,125,,,,,,,,2010_4_93.3_30,1,2
Miu.2.b.17.S165,MiFish,MiFish_2012_3_86.7_50_1_2,2012_3_86.7_50,2012,1,2,Sample,NA,2012-03-31,33.321667,-119.665,33.321667 N 119.665 W,1,1,125,,,,,,,,2010_4_93.3_30,1,3
Miu.2.b.18.S166,MiFish,MiFish_2012_3_93.3_30_1_2,2012_3_93.3_30,2012,1,2,Sample,NA,2012-03-25,32.843333,-117.533333,32.843333 N 117.533333 W,1,1,125,,,,,,,,2010_4_93.3_60,1,1
Miu.2.b.19.S167,MiFish,MiFish_2012_3_93.3_60_1_2,2012_3_93.3_60,2012,1,2,Sample,NA,2012-03-26,31.845,-119.573333,31.845 N 119.573333 W,1,1,125,,,,,,,,2010_4_93.3_60,1,2
Miu.2.b.20.S168,MiFish,MiFish_2013_4_80_60_1_2,2013_4_80_60,2013,1,2,Sample,NA,2013-04-20,34.15232,-121.16733,34.15232 N 121.16733 W,1,1,125,,,,,,,,2010_4_93.3_60,1,3
Miu.2.b.21.S169,MiFish,MiFish_2013_4_86.7_50_1_2,2013_4_86.7_50,2013,1,2,Sample,NA,2013-04-15,33.3245,-119.66017,33.3245 N 119.66017 W,1,1,125,,,,,,,,2010_5_80_60,1,1
Miu.2.b.22.S170,MiFish,MiFish_2013_4_93.3_30_1_2,2013_4_93.3_30,2013,1,2,Sample,NA,2013-04-07,32.8385,-117.533,32.8385 N 117.533 W,1,1,125,,,,,,,,2010_5_80_60,1,2
Miu.2.b.23.S171,MiFish,MiFish_2013_4_93.3_60_1_2,2013_4_93.3_60,2013,1,2,Sample,NA,2013-04-11,31.8475,-119.5805,31.8475 N 119.5805 W,1,1,125,,,,,,,,2010_5_80_60,1,3
Miu.2.b.24.S172,MiFish,MiFish_2014_4_80_60_1_2,2014_4_80_60,2014,1,2,Sample,NA,2014-04-13,34.16203,-121.15758,34.16203 N 121.15758 W,1,1,125,,,,,,,,2011_4_80_60,1,1
Miu.2.b.25.S173,MiFish,MiFish_2014_4_80_60_2_2,2014_4_80_60,2014,2,2,Sample,NA,2014-04-13,34.16203,-121.15758,34.16203 N 121.15758 W,1,1,125,,,,,,,,2011_4_80_60,1,2
Miu.2.b.26.S174,MiFish,MiFish_2014_4_93.3_30_1_2,2014_4_93.3_30,2014,1,2,Sample,NA,2014-04-02,32.84772,-117.53193,32.84772 N 117.53193 W,1,1,125,,,,,,,,2011_4_80_60,1,3
Miu.2.b.27.S175,MiFish,MiFish_2014_4_93.3_60_1_2,2014_4_93.3_60,2014,1,2,Sample,NA,2014-04-03,31.84738,-119.56267,31.84738 N 119.56267 W,1,1,125,,,,,,,,2011_4_86.7_50,1,1
Miu.2.b.28.S176,MiFish,MiFish_2015_4_80_60_1_2,2015_4_80_60,2015,1,2,Sample,NA,2015-04-16,34.15052,-121.14713,34.15052 N 121.14713 W,1,1,100,,,,,,,,2011_4_86.7_50,1,2
Miu.2.b.29.S177,MiFish,MiFish_2015_4_86.7_50_1_2,2015_4_86.7_50,2015,1,2,Sample,NA,2015-04-11,33.32897,-119.6576,33.32897 N 119.6576 W,1,1,125,,,,,,,,2011_4_86.7_50,1,3
Miu.2.b.30.S178,MiFish,MiFish_2015_4_93.3_30_1_2,2015_4_93.3_30,2015,1,2,Sample,NA,2015-04-05,32.84228,-117.53622,32.84228 N 117.53622 W,1,1,125,,,,,,,,2011_4_93.3_30,1,1
Miu.2.b.31.S179,MiFish,MiFish_2015_4_93.3_60_1_2,2015_4_93.3_60,2015,1,2,Sample,NA,2015-04-06,31.84518,-119.56667,31.84518 N 119.56667 W,1,1,125,,,,,,,,2011_4_93.3_30,1,2
Miu.2.b.32.S180,MiFish,MiFish_2016_4_86.7_50_1_2,2016_4_86.7_50,2016,1,2,Sample,NA,2016-04-09,33.31567,-119.65623,33.31567 N 119.65623 W,1,1,125,,,,,,,,2011_4_93.3_30,1,3
Miu.2.b.33.S181,MiFish,MiFish_2016_4_86.7_50_2_2,2016_4_86.7_50,2016,2,2,Sample,NA,2016-04-09,33.31567,-119.65623,33.31567 N 119.65623 W,1,1,125,,,,,,,,2011_4_93.3_60,1,1
Miu.2.b.34.S182,MiFish,MiFish_2016_4_93.3_30_1_2,2016_4_93.3_30,2016,1,2,Sample,NA,2016-04-02,32.84232,-117.53212,32.84232 N 117.53212 W,1,1,125,,,,,,,,2011_4_93.3_60,1,2
Miu.2.b.35.S183,MiFish,MiFish_2016_4_93.3_60_1_2,2016_4_93.3_60,2016,1,2,Sample,NA,2016-04-03,31.84073,-119.57013,31.84073 N 119.57013 W,1,1,125,,,,,,,,2011_4_93.3_60,1,3
Miu.2.b.36.S184,MiFish,MiFish_2017_4_80_60_1_2,2017_4_80_60,2017,1,2,Sample,NA,2017-04-11,34.14817,-121.15233,34.14817 N 121.15233 W,1,1,125,,,,,,,,2012_3_86.7_50,1,1
Miu.2.b.37.S185,MiFish,MiFish_2017_4_86.7_50_1_2,2017_4_86.7_50,2017,1,2,Sample,NA,2017-04-06,33.32372,-119.66018,33.32372 N 119.66018 W,1,1,125,,,,,,,,2012_3_86.7_50,1,2
Miu.2.b.38.S186,MiFish,MiFish_2017_3_93.3_60_1_2,2017_3_93.3_60,2017,1,2,Sample,NA,2017-03-30,31.84467,-119.57317,31.84467 N 119.57317 W,1,1,125,,,,,,,,2012_3_86.7_50,1,3
Miu.2.b.39.S187,MiFish,MiFish_2018_4_80_60_1_2,2018_4_80_60,2018,1,2,Sample,NA,2018-04-18,34.14462,-121.1617,34.14462 N 121.1617 W,1,1,125,,,,,,,,2012_3_93.3_30,1,1
Miu.2.b.40.S188,MiFish,MiFish_2018_4_86.7_50_1_2,2018_4_86.7_50,2018,1,2,Sample,NA,2018-04-12,33.31112,-119.6585,33.31112 N 119.6585 W,1,1,125,,,,,,,,2012_3_93.3_30,1,2
Miu.2.b.41.S189,MiFish,MiFish_2018_4_86.7_50_2_2,2018_4_86.7_50,2018,2,2,Sample,NA,2018-04-12,33.31112,-119.6585,33.31112 N 119.6585 W,1,1,125,,,,,,,,2012_3_93.3_30,1,3
Miu.2.b.42.S190,MiFish,MiFish_2018_4_93.3_30_1_2,2018_4_93.3_30,2018,1,2,Sample,NA,2018-04-06,32.84637,-117.5232,32.84637 N 117.5232 W,1,1,125,,,,,,,,2012_3_93.3_60,1,1
Miu.2.b.43.S191,MiFish,MiFish_2018_4_93.3_60_1_2,2018_4_93.3_60,2018,1,2,Sample,NA,2018-04-07,31.84667,-119.5725,31.84667 N 119.5725 W,1,1,125,,,,,,,,2012_3_93.3_60,1,2
Miu.2.b.44.S192,MiFish,MiFish_2019_4_80_60_1_2,2019_4_80_60,2019,1,2,Sample,NA,2019-04-15,34.14882,-121.15433,34.14882 N 121.15433 W,1,1,125,,,,,,,,2012_3_93.3_60,1,3
Miu.2.b.45.S193,MiFish,MiFish_2019_4_80_60_2_2,2019_4_80_60,2019,2,2,Sample,NA,2019-04-15,34.14882,-121.15433,34.14882 N 121.15433 W,1,1,125,,,,,,,,2012_4_80_60,1,1
Miu.2.b.46.S194,MiFish,MiFish_2019_4_86.7_50_1_2,2019_4_86.7_50,2019,1,2,Sample,NA,2019-04-08,33.32117,-119.66517,33.32117 N 119.66517 W,1,1,125,,,,,,,,2012_4_80_60,1,2
Miu.2.b.47.S195,MiFish,MiFish_2019_4_93.3_30_1_2,2019_4_93.3_30,2019,1,2,Sample,NA,2019-04-03,32.845,-117.52782,32.845 N 117.52782 W,1,1,125,,,,,,,,2012_4_80_60,1,3
Miu.2.b.48.S196,MiFish,MiFish_2019_4_93.3_60_1_2,2019_4_93.3_60,2019,1,2,Sample,NA,2019-04-04,31.84682,-119.57432,31.84682 N 119.57432 W,1,1,125,,,,,,,,2013_4_80_60,1,1
Miu.2.b.49.S197,MiFish,MiFish_Blank_1__1_2,Blank_1_,NA,1,2,Control,Neg,NA,NA,NA,NA,NA,NA,NA,,,,,,,,2013_4_80_60,1,2
Miu.2.b.50.S198,MiFish,MiFish_Exp_2__1_2,Exp_2_,NA,1,2,Control,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,2013_4_80_60,1,3
Miu.2.b.51.S199,MiFish,MiFish_Camel_1_2,Camel,NA,1,2,Control,Pos,NA,NA,NA,NA,NA,NA,NA,,,,,,,,2013_4_86.7_50,1,1
Miu.2.b.52.S200,MiFish,MiFish_PCR_Negative_1_2,PCR_Negative,NA,1,2,Control,Neg,NA,NA,NA,NA,NA,NA,NA,,,,,,,,2013_4_86.7_50,1,2
Miu.3.a.01.S201,MiFish,MiFish_1996_4_80_60_1_3,1996_4_80_60,1996,1,3,Sample,NA,1996-04-28,34.151666,-121.148333,34.151666 N 121.148333 W,1,1,125,,,,,,,,2013_4_86.7_50,1,3
Miu.3.a.02.S202,MiFish,MiFish_1996_4_86.7_50_1_3,1996_4_86.7_50,1996,1,3,Sample,NA,1996-04-23,33.325,-119.661666,33.325 N 119.661666 W,1,1,125,,,,,,,,2013_4_93.3_30,1,1
Miu.3.a.03.S203,MiFish,MiFish_1996_4_93.3_30_1_3,1996_4_93.3_30,1996,1,3,Sample,NA,1996-04-16,32.848333,-117.526666,32.848333 N 117.526666 W,1,1,125,,,,,,,,2013_4_93.3_30,1,2
Miu.3.a.04.S204,MiFish,MiFish_1996_4_93.3_60_1_3,1996_4_93.3_60,1996,1,3,Sample,NA,1996-04-17,31.848333,-119.571666,31.848333 N 119.571666 W,1,1,125,,,,,,,,2013_4_93.3_30,1,3
