Seq_number,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type,Date,Lat,Lon,Lat Lon,ext_rep,tech_rep,Volume,,sample,Cruise_ID,Date,Lat_Dec,Lon_Dec,Volume_mL,Location,ext_rep,tech_rep
Miu.1.a.20.S20,MiFish,MiFish_2001_4_93.3_60_1_1,2001_4_93.3_60,2001,1,1,Sample,NA,2001-04-08,31.855,-119.568333,31.855 N 119.568333 W,1,1,125,,2004_3_93.3_60,2004-03-23-C-32NM,2004-03-25,31.846666,-119.575,125,1998_4_93.3_30,1,2
Miu.1.a.21.S21,MiFish,MiFish_2002_4_80_60_1_1,2002_4_80_60,2002,1,1,Sample,NA,2002-04-09,34.146666,-121.155,34.146666 N 121.155 W,1,1,75,,2005_4_80_60,2005-04-15-C-32NM,2005-04-27,34.146667,-121.15,125,1998_4_93.3_30,1,3
Miu.1.a.22.S22,MiFish,MiFish_2002_4_86.7_50_1_1,2002_4_86.7_50,2002,1,1,Sample,NA,2002-04-04,33.323333,-119.656666,33.323333 N 119.656666 W,1,1,125,,2005_4_86.7_50,2005-04-15-C-32NM,2005-04-26,33.321667,-119.665,125,1998_4_93.3_60,1,1
Miu.1.a.23.S23,MiFish,MiFish_2002_3_93.3_30_1_1,2002_3_93.3_30,2002,1,1,Sample,NA,2002-03-29,32.848333,-117.531666,32.848333 N 117.531666 W,1,1,125,,2005_4_93.3_30,2005-04-15-C-32NM,2005-04-16,32.843333,-117.54,125,1998_4_93.3_60,1,2
Miu.1.a.24.S24,MiFish,MiFish_2002_3_93.3_60_1_1,2002_3_93.3_60,2002,1,1,Sample,NA,2002-03-30,31.846666,-119.571666,31.846666 N 119.571666 W,1,1,125,,2005_4_93.3_60,2005-04-15-C-32NM,2005-04-17,31.848333,-119.58,125,1998_4_93.3_60,1,3
Miu.1.a.25.S25,MiFish,MiFish_2003_4_80_60_1_1,2003_4_80_60,2003,1,1,Sample,NA,2003-04-16,34.155,-121.13,34.155 N 121.13 W,1,1,125,,2006_4_80_60,2006-04-01-C-32NM,2006-04-14,34.155,-121.155,125,1999_4_80_60,1,1
Miu.1.a.26.S26,MiFish,MiFish_2003_4_86.7_50_1_1,2003_4_86.7_50,2003,1,1,Sample,NA,2003-04-11,33.323333,-119.663333,33.323333 N 119.663333 W,1,1,125,,2006_4_86.7_50,2006-04-01-C-32NM,2006-04-09,33.318333,-119.65,125,1999_4_80_60,1,2
Miu.1.a.27.S27,MiFish,MiFish_2003_4_93.3_30_1_1,2003_4_93.3_30,2003,1,1,Sample,NA,2003-04-24,32.846666,-117.531666,32.846666 N 117.531666 W,1,1,125,,2006_4_93.3_30,2006-04-01-C-32NM,2006-04-02,32.846666,-117.533333,125,1999_4_80_60,1,3
Miu.1.a.28.S28,MiFish,MiFish_2003_4_93.3_60_1_1,2003_4_93.3_60,2003,1,1,Sample,NA,2003-04-23,31.846666,-119.571666,31.846666 N 119.571666 W,1,1,125,,2006_4_93.3_60,2006-04-01-C-32NM,2006-04-03,31.846666,-119.576666,125,1999_4_86.7_50,1,1
Miu.1.a.29.S29,MiFish,MiFish_2004_4_80_60_1_1,2004_4_80_60,2004,1,1,Sample,NA,2004-04-04,34.153333,-121.153333,34.153333 N 121.153333 W,1,1,125,,2007_4_80_60,2007-03-27-C-31JD,2007-04-14,34.148333,-121.15,120,1999_4_86.7_50,1,2
Miu.1.a.30.S30,MiFish,MiFish_2004_3_86.7_50_1_1,2004_3_86.7_50,2004,1,1,Sample,NA,2004-03-30,33.323333,-119.661666,33.323333 N 119.661666 W,1,1,125,,2007_4_86.7_50,2007-03-27-C-31JD,2007-04-08,33.323333,-119.66,125,1999_4_86.7_50,1,3
Miu.1.a.31.S31,MiFish,MiFish_2004_3_93.3_30_1_1,2004_3_93.3_30,2004,1,1,Sample,NA,2004-03-24,32.846666,-117.531666,32.846666 N 117.531666 W,1,1,125,,2007_3_93.3_30,2007-03-27-C-31JD,2007-03-28,32.845,-117.526666,125,1999_4_93.3_30,1,1
Miu.1.a.32.S32,MiFish,MiFish_2004_3_93.3_60_1_1,2004_3_93.3_60,2004,1,1,Sample,NA,2004-03-25,31.846666,-119.575,31.846666 N 119.575 W,1,1,125,,2007_3_93.3_60,2007-03-27-C-31JD,2007-03-29,31.846666,-119.566666,125,1999_4_93.3_30,1,2
Miu.1.a.33.S33,MiFish,MiFish_2005_4_80_60_1_1,2005_4_80_60,2005,1,1,Sample,NA,2005-04-27,34.146667,-121.15,34.146667 N 121.15 W,1,1,125,,2008_4_86.7_50,2008-03-24-C-31JD,2008-04-01,33.321666,-119.661666,125,1999_4_93.3_30,1,3
Miu.1.a.34.S34,MiFish,MiFish_2005_4_86.7_50_1_1,2005_4_86.7_50,2005,1,1,Sample,NA,2005-04-26,33.321667,-119.665,33.321667 N 119.665 W,1,1,125,,2008_3_93.3_30,2008-03-24-C-31JD,2008-03-25,32.845,-117.53,125,1999_4_93.3_60,1,1
Miu.1.a.35.S35,MiFish,MiFish_2005_4_93.3_30_1_1,2005_4_93.3_30,2005,1,1,Sample,NA,2005-04-16,32.843333,-117.54,32.843333 N 117.54 W,1,1,125,,2008_3_93.3_60,2008-03-24-C-31JD,2008-03-26,31.845,-119.57,125,1999_4_93.3_60,1,2
Miu.1.a.36.S36,MiFish,MiFish_2005_4_93.3_60_1_1,2005_4_93.3_60,2005,1,1,Sample,NA,2005-04-17,31.848333,-119.58,31.848333 N 119.58 W,1,1,125,,2009_3_80_60,2009-03-08-C-31JD,2009-03-20,34.15,-121.146666,125,1999_4_93.3_60,1,3
Miu.1.a.37.S37,MiFish,MiFish_2006_4_80_60_1_1,2006_4_80_60,2006,1,1,Sample,NA,2006-04-14,34.155,-121.155,34.155 N 121.155 W,1,1,125,,2009_3_86.7_50,2009-03-08-C-31JD,2009-03-15,33.323333,-119.663333,34,2000_4_80_60,1,1
Miu.1.a.38.S38,MiFish,MiFish_2006_4_86.7_50_1_1,2006_4_86.7_50,2006,1,1,Sample,NA,2006-04-09,33.318333,-119.65,33.318333 N 119.65 W,1,1,125,,2009_3_93.3_30,2009-03-08-C-31JD,2009-03-08,32.846666,-117.535,125,2000_4_80_60,1,2
Miu.1.a.39.S39,MiFish,MiFish_2006_4_93.3_30_1_1,2006_4_93.3_30,2006,1,1,Sample,NA,2006-04-02,32.846666,-117.533333,32.846666 N 117.533333 W,1,1,125,,2009_3_93.3_60,2009-03-08-C-31JD,2009-03-09,31.85,-119.57,125,2000_4_80_60,1,3
Miu.1.a.40.S40,MiFish,MiFish_2006_4_93.3_60_1_1,2006_4_93.3_60,2006,1,1,Sample,NA,2006-04-03,31.846666,-119.576666,31.846666 N 119.576666 W,1,1,125,,2010_5_80_60,2010-04-27-C-31FN,2010-05-17,34.146667,-121.143333,125,2000_4_86.7_50,1,1
Miu.1.a.41.S41,MiFish,MiFish_2007_4_80_60_1_1,2007_4_80_60,2007,1,1,Sample,NA,2007-04-14,34.148333,-121.15,34.148333 N 121.15 W,1,1,120,,2010_4_93.3_30,2010-04-27-C-31FN,2010-04-27,32.848333,-117.531667,125,2000_4_86.7_50,1,2
Miu.1.a.42.S42,MiFish,MiFish_2007_4_80_60_2_1,2007_4_80_60,2007,2,1,Sample,NA,2007-04-14,34.148333,-121.15,34.148333 N 121.15 W,1,1,120,,2010_4_93.3_60,2010-04-27-C-31FN,2010-04-28,31.848333,-119.57,125,2000_4_86.7_50,1,3
Miu.1.a.43.S43,MiFish,MiFish_2007_4_86.7_50_1_1,2007_4_86.7_50,2007,1,1,Sample,NA,2007-04-08,33.323333,-119.66,33.323333 N 119.66 W,1,1,125,,2011_4_80_60,2011-04-09-C-325S,2011-04-23,34.15,-121.155,50,2000_4_93.3_30,1,1
Miu.1.a.44.S44,MiFish,MiFish_2007_3_93.3_30_1_1,2007_3_93.3_30,2007,1,1,Sample,NA,2007-03-28,32.845,-117.526666,32.845 N 117.526666 W,1,1,125,,2011_4_86.7_50,2011-04-09-C-325S,2011-04-18,33.325,-119.668333,125,2000_4_93.3_30,1,2
Miu.1.a.45.S45,MiFish,MiFish_2007_3_93.3_60_1_1,2007_3_93.3_60,2007,1,1,Sample,NA,2007-03-29,31.846666,-119.566666,31.846666 N 119.566666 W,1,1,125,,2011_4_93.3_30,2011-04-09-C-325S,2011-04-10,32.848333,-117.528333,125,2000_4_93.3_30,1,3
Miu.1.a.46.S46,MiFish,MiFish_2008_4_86.7_50_1_1,2008_4_86.7_50,2008,1,1,Sample,NA,2008-04-01,33.321666,-119.661666,33.321666 N 119.661666 W,1,1,125,,2011_4_93.3_60,2011-04-09-C-325S,2011-04-11,31.851667,-119.578333,125,2000_4_93.3_60,1,1
Miu.1.a.47.S47,MiFish,MiFish_Alligator_1_1,Alligator,NA,1,1,Control,Pos,NA,NA,NA,NA,NA,NA,NA,,2012_4_80_60,2012-03-25-C-325S,2012-04-06,34.151667,-121.148333,125,2000_4_93.3_60,1,2
Miu.1.a.48.S48,MiFish,MiFish_PCR_negative_1_1,PCR_negative,NA,1,1,Control,Pos,NA,NA,NA,NA,NA,NA,NA,,2012_3_86.7_50,2012-03-25-C-325S,2012-03-31,33.321667,-119.665,125,2000_4_93.3_60,1,3
Miu.1.b.01.S49,MiFish,MiFish_2008_3_93.3_30_1_1,2008_3_93.3_30,2008,1,1,Sample,NA,2008-03-25,32.845,-117.53,32.845 N 117.53 W,1,1,125,,2012_3_93.3_30,2012-03-25-C-325S,2012-03-25,32.843333,-117.533333,125,2001_4_80_60,1,1
Miu.1.b.02.S50,MiFish,MiFish_2008_3_93.3_60_1_1,2008_3_93.3_60,2008,1,1,Sample,NA,2008-03-26,31.845,-119.57,31.845 N 119.57 W,1,1,125,,2012_3_93.3_60,2012-03-25-C-325S,2012-03-26,31.845,-119.573333,125,2001_4_80_60,1,2
Miu.1.b.03.S51,MiFish,MiFish_2009_3_80_60_1_1,2009_3_80_60,2009,1,1,Sample,NA,2009-03-20,34.15,-121.146666,34.15 N 121.146666 W,1,1,125,,2013_4_80_60,2013-04-06-C-325S,2013-04-20,34.15232,-121.16733,125,2001_4_80_60,1,3
Miu.1.b.04.S52,MiFish,MiFish_2009_3_86.7_50_1_1,2009_3_86.7_50,2009,1,1,Sample,NA,2009-03-15,33.323333,-119.663333,33.323333 N 119.663333 W,1,1,34,,2013_4_86.7_50,2013-04-06-C-325S,2013-04-15,33.3245,-119.66017,125,2001_4_86.7_50,1,1
Miu.1.b.05.S53,MiFish,MiFish_2009_3_86.7_50_2_1,2009_3_86.7_50,2009,2,1,Sample,NA,2009-03-15,33.323333,-119.663333,33.323333 N 119.663333 W,1,1,34,,2013_4_93.3_30,2013-04-06-C-325S,2013-04-07,32.8385,-117.533,125,2001_4_86.7_50,1,2
Miu.1.b.06.S54,MiFish,MiFish_2009_3_86.7_50_3_1,2009_3_86.7_50,2009,3,1,Sample,NA,2009-03-15,33.323333,-119.663333,33.323333 N 119.663333 W,1,1,34,,2013_4_93.3_60,2013-04-06-C-325S,2013-04-11,31.8475,-119.5805,125,2001_4_86.7_50,1,3
Miu.1.b.07.S55,MiFish,MiFish_2009_3_93.3_30_1_1,2009_3_93.3_30,2009,1,1,Sample,NA,2009-03-08,32.846666,-117.535,32.846666 N 117.535 W,1,1,125,,2014_4_80_60,2014-03-28-C-31OS,2014-04-13,34.16203,-121.15758,125,2001_4_93.3_30,1,1
Miu.1.b.08.S56,MiFish,MiFish_2009_3_93.3_60_1_1,2009_3_93.3_60,2009,1,1,Sample,NA,2009-03-09,31.85,-119.57,31.85 N 119.57 W,1,1,125,,2014_4_93.3_30,2014-03-28-C-31OS,2014-04-02,32.84772,-117.53193,125,2001_4_93.3_30,1,2
Miu.1.b.09.S57,MiFish,MiFish_2010_5_80_60_1_1,2010_5_80_60,2010,1,1,Sample,NA,2010-05-17,34.146667,-121.143333,34.146667 N 121.143333 W,1,1,125,,2014_4_93.3_60,2014-03-28-C-31OS,2014-04-03,31.84738,-119.56267,125,2001_4_93.3_30,1,3
Miu.1.b.10.S58,MiFish,MiFish_2010_4_93.3_30_1_1,2010_4_93.3_30,2010,1,1,Sample,NA,2010-04-27,32.848333,-117.531667,32.848333 N 117.531667 W,1,1,125,,2015_4_80_60,2015-04-04-C-32NM,2015-04-16,34.15052,-121.14713,100,2001_4_93.3_60,1,1
Miu.1.b.11.S59,MiFish,MiFish_2010_4_93.3_60_1_1,2010_4_93.3_60,2010,1,1,Sample,NA,2010-04-28,31.848333,-119.57,31.848333 N 119.57 W,1,1,125,,2015_4_86.7_50,2015-04-04-C-32NM,2015-04-11,33.32897,-119.6576,125,2001_4_93.3_60,1,2
Miu.1.b.12.S60,MiFish,MiFish_2011_4_80_60_1_1,2011_4_80_60,2011,1,1,Sample,NA,2011-04-23,34.15,-121.155,34.15 N 121.155 W,1,1,50,,2015_4_93.3_30,2015-04-04-C-32NM,2015-04-05,32.84228,-117.53622,125,2001_4_93.3_60,1,3
Miu.1.b.13.S61,MiFish,MiFish_2011_4_86.7_50_1_1,2011_4_86.7_50,2011,1,1,Sample,NA,2011-04-18,33.325,-119.668333,33.325 N 119.668333 W,1,1,125,,2015_4_93.3_60,2015-04-04-C-32NM,2015-04-06,31.84518,-119.56667,125,2002_3_93.3_30,1,1
Miu.1.b.14.S62,MiFish,MiFish_2011_4_93.3_30_1_1,2011_4_93.3_30,2011,1,1,Sample,NA,2011-04-10,32.848333,-117.528333,32.848333 N 117.528333 W,1,1,125,,2016_4_86.7_50,2016-04-01-C-325S,2016-04-09,33.31567,-119.65623,125,2002_3_93.3_30,1,2
Miu.1.b.15.S63,MiFish,MiFish_2011_4_93.3_60_1_1,2011_4_93.3_60,2011,1,1,Sample,NA,2011-04-11,31.851667,-119.578333,31.851667 N 119.578333 W,1,1,125,,2016_4_93.3_30,2016-04-01-C-325S,2016-04-02,32.84232,-117.53212,125,2002_3_93.3_30,1,3
Miu.1.b.16.S64,MiFish,MiFish_2012_4_80_60_1_1,2012_4_80_60,2012,1,1,Sample,NA,2012-04-06,34.151667,-121.148333,34.151667 N 121.148333 W,1,1,125,,2016_4_93.3_60,2016-04-01-C-325S,2016-04-03,31.84073,-119.57013,125,2002_3_93.3_60,1,1
Miu.1.b.17.S65,MiFish,MiFish_2012_3_86.7_50_1_1,2012_3_86.7_50,2012,1,1,Sample,NA,2012-03-31,33.321667,-119.665,33.321667 N 119.665 W,1,1,125,,2017_4_80_60,2017-03-29-C-325S,2017-04-11,34.14817,-121.15233,125,2002_3_93.3_60,1,2
Miu.1.b.18.S66,MiFish,MiFish_2012_3_93.3_30_1_1,2012_3_93.3_30,2012,1,1,Sample,NA,2012-03-25,32.843333,-117.533333,32.843333 N 117.533333 W,1,1,125,,2017_4_86.7_50,2017-03-29-C-325S,2017-04-06,33.32372,-119.66018,125,2002_3_93.3_60,1,3
Miu.1.b.19.S67,MiFish,MiFish_2012_3_93.3_60_1_1,2012_3_93.3_60,2012,1,1,Sample,NA,2012-03-26,31.845,-119.573333,31.845 N 119.573333 W,1,1,125,,2017_3_93.3_60,2017-03-29-C-325S,2017-03-30,31.84467,-119.57317,125,2002_4_80_60,1,1
Miu.1.b.20.S68,MiFish,MiFish_2013_4_80_60_1_1,2013_4_80_60,2013,1,1,Sample,NA,2013-04-20,34.15232,-121.16733,34.15232 N 121.16733 W,1,1,125,,2018_4_80_60,2018-04-05-C-325S,2018-04-18,34.14462,-121.1617,125,2002_4_80_60,1,2
Miu.1.b.21.S69,MiFish,MiFish_2013_4_86.7_50_1_1,2013_4_86.7_50,2013,1,1,Sample,NA,2013-04-15,33.3245,-119.66017,33.3245 N 119.66017 W,1,1,125,,2018_4_86.7_50,2018-04-05-C-325S,2018-04-12,33.31112,-119.6585,125,2002_4_80_60,1,3
Miu.1.b.22.S70,MiFish,MiFish_2013_4_93.3_30_1_1,2013_4_93.3_30,2013,1,1,Sample,NA,2013-04-07,32.8385,-117.533,32.8385 N 117.533 W,1,1,125,,2018_4_93.3_30,2018-04-05-C-325S,2018-04-06,32.84637,-117.5232,125,2002_4_86.7_50,1,1
Miu.1.b.23.S71,MiFish,MiFish_2013_4_93.3_60_1_1,2013_4_93.3_60,2013,1,1,Sample,NA,2013-04-11,31.8475,-119.5805,31.8475 N 119.5805 W,1,1,125,,2018_4_93.3_60,2018-04-05-C-325S,2018-04-07,31.84667,-119.5725,125,2002_4_86.7_50,1,2
Miu.1.b.24.S72,MiFish,MiFish_2014_4_80_60_1_1,2014_4_80_60,2014,1,1,Sample,NA,2014-04-13,34.16203,-121.15758,34.16203 N 121.15758 W,1,1,125,,2019_4_80_60,2019-04-02-C-33RL,2019-04-15,34.14882,-121.15433,125,2002_4_86.7_50,1,3
Miu.1.b.25.S73,MiFish,MiFish_2014_4_80_60_2_1,2014_4_80_60,2014,2,1,Sample,NA,2014-04-13,34.16203,-121.15758,34.16203 N 121.15758 W,1,1,125,,2019_4_86.7_50,2019-04-02-C-33RL,2019-04-08,33.32117,-119.66517,125,2003_4_80_60,1,1
Miu.1.b.26.S74,MiFish,MiFish_2014_4_93.3_30_1_1,2014_4_93.3_30,2014,1,1,Sample,NA,2014-04-02,32.84772,-117.53193,32.84772 N 117.53193 W,1,1,125,,2019_4_93.3_30,2019-04-02-C-33RL,2019-04-03,32.845,-117.52782,125,2003_4_80_60,1,2
Miu.1.b.27.S75,MiFish,MiFish_2014_4_93.3_60_1_1,2014_4_93.3_60,2014,1,1,Sample,NA,2014-04-03,31.84738,-119.56267,31.84738 N 119.56267 W,1,1,125,,2019_4_93.3_60,2019-04-02-C-33RL,2019-04-04,31.84682,-119.57432,125,2003_4_80_60,1,3
Miu.1.b.28.S76,MiFish,MiFish_2015_4_80_60_1_1,2015_4_80_60,2015,1,1,Sample,NA,2015-04-16,34.15052,-121.14713,34.15052 N 121.14713 W,1,1,100,,1996_4_80_60,1996-04-15-C-31JD,1996-04-28,34.151666,-121.148333,125,2003_4_86.7_50,1,1
Miu.1.b.29.S77,MiFish,MiFish_2015_4_86.7_50_1_1,2015_4_86.7_50,2015,1,1,Sample,NA,2015-04-11,33.32897,-119.6576,33.32897 N 119.6576 W,1,1,125,,1996_4_86.7_50,1996-04-15-C-31JD,1996-04-23,33.325,-119.661666,125,2003_4_86.7_50,1,2
Miu.1.b.30.S78,MiFish,MiFish_2015_4_93.3_30_1_1,2015_4_93.3_30,2015,1,1,Sample,NA,2015-04-05,32.84228,-117.53622,32.84228 N 117.53622 W,1,1,125,,1996_4_93.3_30,1996-04-15-C-31JD,1996-04-16,32.848333,-117.526666,125,2003_4_86.7_50,1,3
Miu.1.b.31.S79,MiFish,MiFish_2015_4_93.3_60_1_1,2015_4_93.3_60,2015,1,1,Sample,NA,2015-04-06,31.84518,-119.56667,31.84518 N 119.56667 W,1,1,125,,1996_4_93.3_60,1996-04-15-C-31JD,1996-04-17,31.848333,-119.571666,125,2003_4_93.3_30,1,1
Miu.1.b.32.S80,MiFish,MiFish_2016_4_86.7_50_1_1,2016_4_86.7_50,2016,1,1,Sample,NA,2016-04-09,33.31567,-119.65623,33.31567 N 119.65623 W,1,1,125,,1998_4_80_60,1998-04-02-C-31JD,1998-04-15,34.151666,-121.145,125,2003_4_93.3_30,1,2
Miu.1.b.33.S81,MiFish,MiFish_2016_4_86.7_50_2_1,2016_4_86.7_50,2016,2,1,Sample,NA,2016-04-09,33.31567,-119.65623,33.31567 N 119.65623 W,1,1,125,,1998_4_86.7_50,1998-04-02-C-31JD,1998-04-10,33.323333,-119.663333,125,2003_4_93.3_30,1,3
Miu.1.b.34.S82,MiFish,MiFish_2016_4_93.3_30_1_1,2016_4_93.3_30,2016,1,1,Sample,NA,2016-04-02,32.84232,-117.53212,32.84232 N 117.53212 W,1,1,125,,1998_4_93.3_30,1998-04-02-C-31JD,1998-04-03,32.848333,-117.528333,125,2003_4_93.3_60,1,1
Miu.1.b.35.S83,MiFish,MiFish_2016_4_93.3_60_1_1,2016_4_93.3_60,2016,1,1,Sample,NA,2016-04-03,31.84073,-119.57013,31.84073 N 119.57013 W,1,1,125,,1998_4_93.3_60,1998-04-02-C-31JD,1998-04-04,31.846666,-119.571666,125,2003_4_93.3_60,1,2
Miu.1.b.36.S84,MiFish,MiFish_2017_4_80_60_1_1,2017_4_80_60,2017,1,1,Sample,NA,2017-04-11,34.14817,-121.15233,34.14817 N 121.15233 W,1,1,125,,1999_4_80_60,1999-04-01-C-31JD,1999-04-13,34.153333,-121.146666,125,2003_4_93.3_60,1,3
Miu.1.b.37.S85,MiFish,MiFish_2017_4_86.7_50_1_1,2017_4_86.7_50,2017,1,1,Sample,NA,2017-04-06,33.32372,-119.66018,33.32372 N 119.66018 W,1,1,125,,1999_4_86.7_50,1999-04-01-C-31JD,1999-04-08,33.325,-119.663333,125,2004_3_86.7_50,1,1
Miu.1.b.38.S86,MiFish,MiFish_2017_3_93.3_60_1_1,2017_3_93.3_60,2017,1,1,Sample,NA,2017-03-30,31.84467,-119.57317,31.84467 N 119.57317 W,1,1,125,,1999_4_93.3_30,1999-04-01-C-31JD,1999-04-02,32.845,-117.53,125,2004_3_86.7_50,1,2
Miu.1.b.39.S87,MiFish,MiFish_2018_4_80_60_1_1,2018_4_80_60,2018,1,1,Sample,NA,2018-04-18,34.14462,-121.1617,34.14462 N 121.1617 W,1,1,125,,1999_4_93.3_60,1999-04-01-C-31JD,1999-04-03,31.85,-119.568333,125,2004_3_86.7_50,1,3
