cruise,ship,ship_code,order_occupied,tow_type,tow_number,net_location,time,latitude,longitude,line,station,standard_haul_factor,volume_sampled,proportion_sorted,scientific_name,common_name,itis_tsn,calcofi_species_code,larvae_count,larvae_10m2,larvae_100m3
,,,,,,,UTC,degrees_north,degrees_east,,,,meters^3,,,,,,,Larvae 10/M^2,Larvae 100/M^3
199602,DAVID STARR JORDAN,JD,2,CB,1,S,1996-01-30T09:10:00Z,32.911667,-117.395,93.3,28,4.83,422.2,0.486,Sebastes,Rockfishes,166705,683,3,29.814816,NaN
199602,DAVID STARR JORDAN,JD,2,CB,1,S,1996-01-30T09:10:00Z,32.911667,-117.395,93.3,28,4.83,422.2,0.486,Stenobrachius leucopsarus,Northern lampfish,162664,292,4,39.753086,NaN
199602,DAVID STARR JORDAN,JD,2,CB,1,S,1996-01-30T09:10:00Z,32.911667,-117.395,93.3,28,4.83,422.2,0.486,Teleostei,Unidentified Teliost,161105,1,1,9.9382715,NaN
199602,DAVID STARR JORDAN,JD,2,MT,1,,1996-01-30T08:35:00Z,32.911667,-117.395,93.3,28,0.02,81.9,1,Citharichthys stigmaeus,Speckled sanddab,172717,925,1,NaN,1.2210013
199602,DAVID STARR JORDAN,JD,2,MT,1,,1996-01-30T08:35:00Z,32.911667,-117.395,93.3,28,0.02,81.9,1,Engraulis mordax,Northern anchovy,161828,31,2,NaN,2.4420025
199602,DAVID STARR JORDAN,JD,2,PV,1,S,1996-01-30T08:20:00Z,32.911667,-117.395,93.3,28,195.54,3.5,1,Engraulis mordax,Northern anchovy,161828,31,3,586.62,NaN
199602,DAVID STARR JORDAN,JD,3,CB,1,S,1996-01-30T12:30:00Z,32.846664,-117.53167,93.3,30,5.28,401.4,1,Chauliodus macouni,Pacific viperfish,162279,156,1,5.28,NaN
199602,DAVID STARR JORDAN,JD,3,CB,1,S,1996-01-30T12:30:00Z,32.846664,-117.53167,93.3,30,5.28,401.4,1,Engraulis mordax,Northern anchovy,161828,31,21,110.88,NaN
199602,DAVID STARR JORDAN,JD,3,CB,1,S,1996-01-30T12:30:00Z,32.846664,-117.53167,93.3,30,5.28,401.4,1,Genyonemus lineatus,White croaker,169257,612,2,10.56,NaN
199602,DAVID STARR JORDAN,JD,3,CB,1,S,1996-01-30T12:30:00Z,32.846664,-117.53167,93.3,30,5.28,401.4,1,Leuroglossus stilbius,California smoothtongue,162096,72,5,26.4,NaN
199602,DAVID STARR JORDAN,JD,3,CB,1,S,1996-01-30T12:30:00Z,32.846664,-117.53167,93.3,30,5.28,401.4,1,Sardinops sagax,Pacific sardine (pilchard),161729,19,1,5.28,NaN
199602,DAVID STARR JORDAN,JD,3,CB,1,S,1996-01-30T12:30:00Z,32.846664,-117.53167,93.3,30,5.28,401.4,1,Sebastes jordani,Shortbelly rockfish,166725,684,4,21.12,NaN
199602,DAVID STARR JORDAN,JD,3,CB,1,S,1996-01-30T12:30:00Z,32.846664,-117.53167,93.3,30,5.28,401.4,1,Stenobrachius leucopsarus,Northern lampfish,162664,292,7,36.96,NaN
199602,DAVID STARR JORDAN,JD,4,CB,1,S,1996-01-30T16:28:00Z,32.68,-117.87334,93.3,35,5.25,406.4,1,Bathylagoides wesethi,Snubnose blacksmelt,623380,71,1,5.25,NaN
199602,DAVID STARR JORDAN,JD,4,CB,1,S,1996-01-30T16:28:00Z,32.68,-117.87334,93.3,35,5.25,406.4,1,Citharichthys stigmaeus,Speckled sanddab,172717,925,1,5.25,NaN
199602,DAVID STARR JORDAN,JD,4,CB,1,S,1996-01-30T16:28:00Z,32.68,-117.87334,93.3,35,5.25,406.4,1,Engraulis mordax,Northern anchovy,161828,31,7,36.75,NaN
199602,DAVID STARR JORDAN,JD,4,CB,1,S,1996-01-30T16:28:00Z,32.68,-117.87334,93.3,35,5.25,406.4,1,Leuroglossus stilbius,California smoothtongue,162096,72,9,47.25,NaN
199602,DAVID STARR JORDAN,JD,4,CB,1,S,1996-01-30T16:28:00Z,32.68,-117.87334,93.3,35,5.25,406.4,1,Merluccius productus,Pacific hake or whiting,164792,901,6,31.5,NaN
199602,DAVID STARR JORDAN,JD,4,CB,1,S,1996-01-30T16:28:00Z,32.68,-117.87334,93.3,35,5.25,406.4,1,Sardinops sagax,Pacific sardine (pilchard),161729,19,12,63,NaN
199602,DAVID STARR JORDAN,JD,4,CB,1,S,1996-01-30T16:28:00Z,32.68,-117.87334,93.3,35,5.25,406.4,1,Sebastes,Rockfishes,166705,683,1,5.25,NaN
199602,DAVID STARR JORDAN,JD,4,CB,1,S,1996-01-30T16:28:00Z,32.68,-117.87334,93.3,35,5.25,406.4,1,Stenobrachius leucopsarus,Northern lampfish,162664,292,11,57.75,NaN
199602,DAVID STARR JORDAN,JD,4,MT,1,,1996-01-30T16:10:00Z,32.68,-117.87334,93.3,35,0.02,79.3,1,Engraulis mordax,Northern anchovy,161828,31,3,NaN,3.783102
199602,DAVID STARR JORDAN,JD,4,MT,1,,1996-01-30T16:10:00Z,32.68,-117.87334,93.3,35,0.02,79.3,1,Sardinops sagax,Pacific sardine (pilchard),161729,19,2,NaN,2.522068
199602,DAVID STARR JORDAN,JD,4,PV,1,S,1996-01-30T16:01:00Z,32.68,-117.87334,93.3,35,196.01,3.6,1,Engraulis mordax,Northern anchovy,161828,31,1,196.01,NaN
199602,DAVID STARR JORDAN,JD,5,CB,1,S,1996-01-31T00:31:00Z,32.513332,-118.21166,93.3,40,5.3,400.9,1,Argyropelecus sladeni,Lowcrest hatchetfish,162221,105,1,5.3,NaN
199602,DAVID STARR JORDAN,JD,5,CB,1,S,1996-01-31T00:31:00Z,32.513332,-118.21166,93.3,40,5.3,400.9,1,Pseudobathylagus milleri,Robust blacksmelt,623626,66,1,5.3,NaN
199602,DAVID STARR JORDAN,JD,5,CB,1,S,1996-01-31T00:31:00Z,32.513332,-118.21166,93.3,40,5.3,400.9,1,Sebastes,Rockfishes,166705,683,7,37.1,NaN
199602,DAVID STARR JORDAN,JD,5,CB,1,S,1996-01-31T00:31:00Z,32.513332,-118.21166,93.3,40,5.3,400.9,1,Sebastes paucispinis,Bocaccio,166733,686,1,5.3,NaN
199602,DAVID STARR JORDAN,JD,5,CB,1,S,1996-01-31T00:31:00Z,32.513332,-118.21166,93.3,40,5.3,400.9,1,Stenobrachius leucopsarus,Northern lampfish,162664,292,3,15.9,NaN
199602,DAVID STARR JORDAN,JD,6,CB,1,S,1996-01-31T04:43:00Z,32.346664,-118.55167,93.3,45,5.48,390.8,1,Lipolagus ochotensis,Popeye blacksmelt,623625,68,1,5.48,NaN
199602,DAVID STARR JORDAN,JD,6,CB,1,S,1996-01-31T04:43:00Z,32.346664,-118.55167,93.3,45,5.48,390.8,1,Nannobrachium ritteri,Broadfin lampfish,623745,260,1,5.48,NaN
