Jar,Conc.copies.uL.,Copies.20uLWell,Positives
0903_93.3_60,NA,NA,18047
0903_93.3_60,NA,0.342076957,16427
1004_93.3_30,NA,NA,16427
1004_93.3_30,NA,2.997120619,16974
1004_93.3_30,NA,NA,16974
1004_93.3_30,NA,20.57320023,16427
1304_80_60,NA,3.754751921,17186
1304_80_60,NA,23.09963608,16060
1304_80_60,NA,NA,16060
1304_80_60,NA,NA,17186
1604_93.3_60,NA,NA,16306
1604_93.3_60,NA,NA,16295
1604_93.3_60,NA,0.783925712,16306
1604_93.3_60,NA,0.216325864,16295
9804_80_60,NA,0.227642685,15485
9804_80_60,NA,NA,15485
9804_80_60,NA,NA,17149
9804_80_60,NA,0.327673823,17149
